"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.32.csv",,,,"Date:","03 Mar 2016 12:41:36 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
21.110,3.559,74.977,0.343,0.000,0.011,980810.494,1262546.144,778420224.0,485523456.0,151302144.0,45089513472.0
47.808,19.916,32.025,0.042,0.0,0.209,0.0,0.0,1919860736.0,485523456.0,165724160.0,43933650944.0
52.855,42.851,4.127,0.0,0.0,0.167,0.0,0.0,1964433408.0,485523456.0,166768640.0,43888033792.0
54.292,41.333,4.167,0.0,0.0,0.208,0.0,0.0,1965076480.0,485523456.0,166768640.0,43887390720.0
53.708,41.917,4.167,0.0,0.0,0.208,0.0,0.0,1964036096.0,485523456.0,166768640.0,43888431104.0
52.794,42.869,4.128,0.0,0.0,0.209,0.0,0.0,1962422272.0,485523456.0,166768640.0,43890044928.0
55.148,40.434,4.168,0.0,0.0,0.250,0.0,229376.0,1961979904.0,485531648.0,166760448.0,43890487296.0
53.397,42.268,4.127,0.0,0.0,0.208,0.0,0.0,1961041920.0,485531648.0,166768640.0,43891417088.0
52.458,43.167,4.167,0.0,0.0,0.208,0.0,0.0,1960173568.0,485531648.0,166768640.0,43892285440.0
54.773,40.809,4.168,0.0,0.0,0.250,0.0,0.0,1960554496.0,485531648.0,166768640.0,43891904512.0
56.208,39.292,4.167,0.0,0.0,0.333,0.0,0.0,1959784448.0,485531648.0,166768640.0,43892674560.0
55.129,40.575,4.128,0.0,0.0,0.167,0.0,0.0,1957040128.0,485531648.0,166768640.0,43895418880.0
53.458,42.125,4.208,0.0,0.0,0.208,0.0,0.0,1957879808.0,485531648.0,166768640.0,43894579200.0
54.815,39.892,5.044,0.0,0.0,0.250,0.0,0.0,1957752832.0,485531648.0,166768640.0,43894706176.0
52.772,42.518,4.544,0.0,0.0,0.167,0.0,12288.0,1955250176.0,485535744.0,166768640.0,43897204736.0
49.938,41.566,8.330,0.0,0.0,0.167,0.0,0.0,1955885056.0,485535744.0,166768640.0,43896569856.0
