"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.C.32.csv",,,,"Date:","03 Mar 2016 12:43:12 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
21.110,3.559,74.977,0.343,0.000,0.011,980806.874,1262542.488,785817600.0,485605376.0,153542656.0,45079793664.0
61.336,14.823,23.382,0.251,0.0,0.209,0.0,69632.0,881041408.0,485613568.0,168849408.0,44969254912.0
91.622,4.168,4.210,0.0,0.0,0.0,0.0,0.0,880975872.0,485613568.0,168914944.0,44969254912.0
91.667,4.208,4.125,0.0,0.0,0.0,0.0,0.0,880975872.0,485613568.0,168914944.0,44969254912.0
91.663,4.168,4.168,0.0,0.0,0.0,0.0,0.0,878755840.0,485613568.0,168914944.0,44971474944.0
91.705,4.168,4.127,0.0,0.0,0.0,0.0,0.0,877993984.0,485613568.0,168914944.0,44972236800.0
90.788,5.085,4.127,0.0,0.0,0.0,0.0,208896.0,877842432.0,485621760.0,168906752.0,44972388352.0
89.621,6.253,4.127,0.0,0.0,0.0,0.0,0.0,875618304.0,485621760.0,168914944.0,44974604288.0
82.902,12.969,4.128,0.0,0.0,0.0,0.0,0.0,874815488.0,485621760.0,168914944.0,44975407104.0
60.108,35.765,4.127,0.0,0.0,0.0,0.0,0.0,874696704.0,485621760.0,168914944.0,44975525888.0
54.833,41.0,4.167,0.0,0.0,0.0,0.0,0.0,872275968.0,485621760.0,168914944.0,44977946624.0
52.462,42.780,4.758,0.0,0.0,0.0,0.0,0.0,871227392.0,485621760.0,168914944.0,44978995200.0
