"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.32.csv",,,,"Date:","03 Mar 2016 12:43:37 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
21.110,3.559,74.977,0.343,0.000,0.011,980805.937,1262541.320,786878464.0,485687296.0,154431488.0,45077762048.0
58.069,14.089,27.592,0.0,0.0,0.251,0.0,0.0,1548218368.0,485699584.0,168812544.0,44302028800.0
44.977,48.812,5.419,0.0,0.0,0.792,0.0,176128.0,2039803904.0,485703680.0,169193472.0,43810058240.0
35.265,63.276,0.0,0.0,0.0,1.459,0.0,0.0,2194182144.0,485703680.0,169193472.0,43655680000.0
35.0,63.542,0.0,0.0,0.0,1.458,0.0,0.0,2193674240.0,485703680.0,169193472.0,43656187904.0
35.530,62.927,0.0,0.0,0.0,1.543,0.0,0.0,2192785408.0,485703680.0,169193472.0,43657076736.0
35.444,63.224,0.0,0.0,0.0,1.333,0.0,61440.0,2192777216.0,485711872.0,169185280.0,43657084928.0
34.917,63.583,0.0,0.0,0.0,1.500,0.0,0.0,2192101376.0,485711872.0,169193472.0,43657752576.0
32.347,65.986,0.0,0.0,0.0,1.667,0.0,12288.0,2190958592.0,485711872.0,169193472.0,43658895360.0
32.138,66.486,0.0,0.0,0.0,1.376,0.0,0.0,2193301504.0,485711872.0,169193472.0,43656552448.0
35.375,63.167,0.0,0.0,0.0,1.458,0.0,0.0,2190782464.0,485711872.0,169193472.0,43659071488.0
35.223,63.318,0.0,0.0,0.0,1.459,0.0,0.0,2187616256.0,485711872.0,169193472.0,43662237696.0
35.0,63.542,0.0,0.0,0.0,1.458,0.0,0.0,2189385728.0,485711872.0,169193472.0,43660468224.0
35.500,63.125,0.042,0.0,0.0,1.333,0.0,0.0,2190139392.0,485711872.0,169193472.0,43659714560.0
