"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-3.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.32.csv",,,,"Date:","29 Feb 2016 11:25:55 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
13.827,0.335,85.792,0.012,0.000,0.035,218.744,8186.316,346480640.0,142524416.0,121511936.0,12004470784.0
53.631,12.938,33.306,0.0,0.0,0.125,0.0,0.0,793026560.0,142524416.0,133259264.0,11546177536.0
49.833,33.292,16.583,0.083,0.0,0.208,0.0,167936.0,1508012032.0,142536704.0,135749632.0,10828689408.0
34.585,53.358,11.097,0.0,0.0,0.960,0.0,0.0,1741508608.0,142536704.0,136212480.0,10594729984.0
34.348,60.275,4.127,0.0,0.0,1.251,0.0,0.0,1741635584.0,142536704.0,136212480.0,10594603008.0
35.015,59.733,4.127,0.0,0.0,1.125,0.0,0.0,1741238272.0,142536704.0,136212480.0,10595000320.0
36.807,57.941,4.127,0.0,0.0,1.125,0.0,36864.0,1740603392.0,142536704.0,136212480.0,10595635200.0
36.557,58.233,4.085,0.083,0.0,1.042,0.0,12288.0,1739665408.0,142544896.0,136212480.0,10596564992.0
36.697,58.090,4.128,0.0,0.0,1.084,0.0,0.0,1741316096.0,142544896.0,136212480.0,10594914304.0
36.640,58.149,4.127,0.0,0.0,1.084,0.0,0.0,1739497472.0,142544896.0,136212480.0,10596732928.0
36.651,58.101,4.123,0.0,0.0,1.125,0.0,0.0,1739751424.0,142544896.0,136212480.0,10596478976.0
36.280,58.632,4.128,0.0,0.0,0.959,0.0,0.0,1738940416.0,142544896.0,136212480.0,10597289984.0
36.572,58.257,4.045,0.083,0.0,1.043,0.0,12288.0,1737281536.0,142553088.0,136212480.0,10598940672.0
36.542,58.333,4.125,0.0,0.0,1.0,0.0,0.0,1736130560.0,142553088.0,136212480.0,10600091648.0
43.620,51.209,4.212,0.042,0.0,0.917,0.0,12288.0,1733718016.0,142553088.0,136212480.0,10602504192.0
