"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.8.csv",,,,"Date:","03 Mar 2016 12:36:41 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
21.110,3.559,74.977,0.343,0.000,0.011,980821.641,1262559.010,767229952.0,485167104.0,140865536.0,45111496704.0
21.285,8.097,70.409,0.167,0.0,0.042,0.0,159744.0,1310998528.0,485167104.0,146546688.0,44562046976.0
33.361,4.212,61.802,0.584,0.0,0.042,0.0,98304.0,1311621120.0,485175296.0,146685952.0,44561276928.0
33.361,4.254,62.385,0.0,0.0,0.0,0.0,0.0,1311612928.0,485175296.0,146685952.0,44561285120.0
33.389,4.215,62.396,0.0,0.0,0.0,0.0,0.0,1310838784.0,485175296.0,146694144.0,44562051072.0
33.347,4.257,62.396,0.0,0.0,0.0,0.0,0.0,1310339072.0,485175296.0,146694144.0,44562550784.0
33.375,4.214,62.411,0.0,0.0,0.0,0.0,0.0,1310040064.0,485175296.0,146694144.0,44562849792.0
33.375,4.255,62.370,0.0,0.0,0.0,0.0,0.0,1308753920.0,485175296.0,146694144.0,44564135936.0
33.347,4.215,62.437,0.0,0.0,0.0,0.0,0.0,1308254208.0,485175296.0,146694144.0,44564635648.0
33.417,4.255,62.328,0.0,0.0,0.0,0.0,0.0,1308356608.0,485175296.0,146694144.0,44564533248.0
33.375,4.214,62.370,0.0,0.0,0.042,0.0,0.0,1307594752.0,485175296.0,146694144.0,44565295104.0
33.333,4.255,62.411,0.0,0.0,0.0,0.0,0.0,1307070464.0,485175296.0,146694144.0,44565819392.0
33.375,4.255,62.370,0.0,0.0,0.0,0.0,0.0,1306816512.0,485175296.0,146694144.0,44566073344.0
33.375,4.214,62.411,0.0,0.0,0.0,0.0,0.0,1305792512.0,485175296.0,146694144.0,44567097344.0
33.347,4.257,62.396,0.0,0.0,0.0,0.0,0.0,1305419776.0,485175296.0,146694144.0,44567470080.0
