"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.8.csv",,,,"Date:","28 Feb 2016 00:31:50 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.736,0.131,99.127,0.005,0.000,0.001,4229.108,3768.340,724398080.0,129228800.0,510722048.0,49376645120.0
22.997,4.549,72.412,0.0,0.0,0.042,0.0,0.0,1270812672.0,129228800.0,515514368.0,48825438208.0
33.361,0.083,66.514,0.0,0.0,0.042,0.0,0.0,1271132160.0,129228800.0,515801088.0,48824832000.0
33.333,0.167,66.208,0.292,0.0,0.0,0.0,176128.0,1271320576.0,129249280.0,515801088.0,48824623104.0
33.306,0.125,66.569,0.0,0.0,0.0,0.0,0.0,1270812672.0,129249280.0,515801088.0,48825131008.0
33.347,0.125,66.528,0.0,0.0,0.0,0.0,0.0,1269641216.0,129249280.0,515801088.0,48826302464.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1270587392.0,129249280.0,515801088.0,48825356288.0
33.347,0.125,66.528,0.0,0.0,0.0,0.0,0.0,1269776384.0,129249280.0,515801088.0,48826167296.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1268813824.0,129249280.0,515801088.0,48827129856.0
33.306,0.125,66.569,0.0,0.0,0.0,0.0,0.0,1268502528.0,129249280.0,515801088.0,48827441152.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1268207616.0,129249280.0,515801088.0,48827736064.0
33.333,0.167,66.500,0.0,0.0,0.0,0.0,0.0,1267220480.0,129249280.0,515801088.0,48828723200.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1267220480.0,129249280.0,515801088.0,48828723200.0
