"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.8.csv",,,,"Date:","28 Feb 2016 00:32:05 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.739,0.131,99.124,0.005,0.000,0.001,4228.636,3769.257,722653184.0,129249280.0,510775296.0,49378316288.0
21.235,5.090,73.592,0.0,0.0,0.083,0.0,0.0,1949331456.0,129249280.0,515846144.0,48146567168.0
33.347,0.125,66.528,0.0,0.0,0.0,0.0,0.0,1950126080.0,129249280.0,515854336.0,48145764352.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1950126080.0,129249280.0,515854336.0,48145764352.0
33.361,0.083,66.514,0.042,0.0,0.0,0.0,102400.0,1949343744.0,129261568.0,515842048.0,48146546688.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,16384.0,1948610560.0,129261568.0,515854336.0,48147267584.0
33.347,0.083,66.486,0.083,0.0,0.0,0.0,32768.0,1948585984.0,129269760.0,515846144.0,48147292160.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,1947930624.0,129269760.0,515854336.0,48147939328.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1947033600.0,129269760.0,515854336.0,48148836352.0
33.389,0.042,66.569,0.0,0.0,0.0,0.0,0.0,1947033600.0,129269760.0,515854336.0,48148836352.0
33.347,0.083,66.528,0.0,0.0,0.042,0.0,0.0,1946046464.0,129269760.0,515854336.0,48149823488.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1945767936.0,129269760.0,515854336.0,48150102016.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1945767936.0,129269760.0,515854336.0,48150102016.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,1945387008.0,129269760.0,515854336.0,48150482944.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1944961024.0,129269760.0,515854336.0,48150908928.0
33.375,0.042,66.583,0.0,0.0,0.0,0.0,20480.0,1944961024.0,129269760.0,515854336.0,48150908928.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,1944633344.0,129269760.0,515854336.0,48151236608.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1944506368.0,129269760.0,515854336.0,48151363584.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1944379392.0,129269760.0,515854336.0,48151490560.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1944162304.0,129269760.0,515854336.0,48151707648.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,147456.0,1943949312.0,129269760.0,515854336.0,48151920640.0
33.333,0.083,66.458,0.083,0.0,0.042,0.0,24576.0,1943945216.0,129277952.0,515850240.0,48151920640.0
33.375,0.042,66.583,0.0,0.0,0.0,0.0,0.0,1943687168.0,129277952.0,515854336.0,48152174592.0
33.389,0.083,66.528,0.0,0.0,0.0,0.0,0.0,1943687168.0,129277952.0,515854336.0,48152174592.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,1943687168.0,129277952.0,515854336.0,48152174592.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1943560192.0,129277952.0,515854336.0,48152301568.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1943433216.0,129277952.0,515854336.0,48152428544.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,1943433216.0,129277952.0,515854336.0,48152428544.0
33.333,0.083,66.542,0.0,0.0,0.042,0.0,0.0,1943400448.0,129277952.0,515854336.0,48152461312.0
33.403,0.125,66.472,0.0,0.0,0.0,0.0,0.0,1943400448.0,129277952.0,515854336.0,48152461312.0
33.347,0.125,66.528,0.0,0.0,0.0,0.0,0.0,1943400448.0,129277952.0,515854336.0,48152461312.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,1943400448.0,129277952.0,515854336.0,48152461312.0
33.347,0.083,66.569,0.0,0.0,0.0,0.0,0.0,1943400448.0,129277952.0,515854336.0,48152461312.0
33.389,0.083,66.486,0.042,0.0,0.0,0.0,12288.0,1943396352.0,129286144.0,515850240.0,48152461312.0
33.375,0.042,66.583,0.0,0.0,0.0,0.0,0.0,1943392256.0,129286144.0,515854336.0,48152461312.0
33.264,0.083,66.569,0.083,0.0,0.0,0.0,3866624.0,1943400448.0,129286144.0,515854336.0,48152453120.0
33.375,0.042,66.583,0.0,0.0,0.0,0.0,0.0,1943523328.0,129286144.0,515858432.0,48152326144.0
33.375,0.042,66.583,0.0,0.0,0.0,0.0,0.0,1943523328.0,129286144.0,515858432.0,48152326144.0
33.361,0.083,66.555,0.0,0.0,0.0,0.0,0.0,1943523328.0,129286144.0,515858432.0,48152326144.0
