"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.8.csv",,,,"Date:","28 Feb 2016 00:32:50 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.749,0.131,99.114,0.005,0.000,0.001,4227.185,3800.969,724672512.0,129306624.0,510865408.0,49376149504.0
23.154,3.963,72.549,0.250,0.0,0.083,0.0,114688.0,752173056.0,129327104.0,515354624.0,49344139264.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,751919104.0,129327104.0,515899392.0,49343848448.0
33.319,0.042,66.639,0.0,0.0,0.0,0.0,0.0,752373760.0,129327104.0,515923968.0,49343369216.0
33.347,0.042,66.570,0.0,0.0,0.042,0.0,0.0,752218112.0,129327104.0,515923968.0,49343524864.0
33.333,0.042,66.625,0.0,0.0,0.0,0.0,0.0,751206400.0,129327104.0,515923968.0,49344536576.0
33.389,0.0,66.444,0.167,0.0,0.0,0.0,86016.0,749154304.0,129343488.0,515919872.0,49346576384.0
33.333,0.042,66.583,0.0,0.0,0.042,0.0,0.0,748711936.0,129343488.0,515923968.0,49347014656.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,747950080.0,129343488.0,515923968.0,49347776512.0
33.306,0.042,66.653,0.0,0.0,0.0,0.0,0.0,747401216.0,129343488.0,515923968.0,49348325376.0
30.776,0.083,69.141,0.0,0.0,0.0,0.0,0.0,745566208.0,129343488.0,510910464.0,49355173888.0
