"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-3.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.16.csv",,,,"Date:","29 Feb 2016 11:21:17 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
13.823,0.333,85.797,0.012,0.000,0.035,218.761,8173.079,334700544.0,142176256.0,120881152.0,12017229824.0
43.060,10.338,46.436,0.042,0.0,0.125,0.0,0.0,1651814400.0,142176256.0,129024000.0,10691973120.0
66.736,0.042,33.222,0.0,0.0,0.0,0.0,0.0,1650438144.0,142176256.0,130781184.0,10691592192.0
66.736,0.083,33.097,0.083,0.0,0.0,0.0,135168.0,1650565120.0,142188544.0,130768896.0,10691465216.0
66.708,0.083,33.208,0.0,0.0,0.0,0.0,0.0,1650544640.0,142188544.0,130781184.0,10691473408.0
66.750,0.083,33.166,0.0,0.0,0.0,0.0,0.0,1648902144.0,142188544.0,130781184.0,10693115904.0
66.708,0.042,33.166,0.083,0.0,0.0,0.0,40960.0,1648357376.0,142188544.0,130781184.0,10693660672.0
66.722,0.042,33.236,0.0,0.0,0.0,0.0,0.0,1648095232.0,142188544.0,130781184.0,10693922816.0
66.722,0.042,33.236,0.0,0.0,0.0,0.0,0.0,1646862336.0,142188544.0,130781184.0,10695155712.0
66.653,0.042,33.222,0.042,0.0,0.042,0.0,12288.0,1646325760.0,142196736.0,130777088.0,10695688192.0
66.750,0.083,33.166,0.0,0.0,0.0,0.0,0.0,1645813760.0,142196736.0,130781184.0,10696196096.0
66.722,0.083,33.194,0.0,0.0,0.0,0.0,0.0,1644822528.0,142196736.0,130781184.0,10697187328.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1644412928.0,142196736.0,130781184.0,10697596928.0
66.764,0.042,33.194,0.0,0.0,0.0,0.0,0.0,1643737088.0,142196736.0,130781184.0,10698272768.0
66.722,0.083,33.194,0.0,0.0,0.0,0.0,0.0,1642975232.0,142196736.0,130781184.0,10699034624.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1642713088.0,142196736.0,130781184.0,10699296768.0
66.778,0.042,33.180,0.0,0.0,0.0,0.0,0.0,1642078208.0,142196736.0,130781184.0,10699931648.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1641398272.0,142196736.0,130781184.0,10700611584.0
66.778,0.042,33.180,0.0,0.0,0.0,0.0,0.0,1641017344.0,142196736.0,130781184.0,10700992512.0
66.708,0.083,33.208,0.0,0.0,0.0,0.0,0.0,1640386560.0,142196736.0,130781184.0,10701623296.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1640054784.0,142196736.0,130781184.0,10701955072.0
66.778,0.042,33.180,0.0,0.0,0.0,0.0,0.0,1639944192.0,142196736.0,130781184.0,10702065664.0
66.722,0.083,33.194,0.0,0.0,0.0,0.0,0.0,1639682048.0,142196736.0,130781184.0,10702327808.0
66.736,0.042,33.222,0.0,0.0,0.0,0.0,0.0,1639428096.0,142196736.0,130781184.0,10702581760.0
66.778,0.042,33.180,0.0,0.0,0.0,0.0,0.0,1639428096.0,142196736.0,130781184.0,10702581760.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1639428096.0,142196736.0,130781184.0,10702581760.0
66.736,0.083,33.180,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.722,0.083,33.194,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.736,0.042,33.222,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.778,0.042,33.180,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.722,0.083,33.194,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.694,0.125,33.180,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
66.736,0.042,33.222,0.0,0.0,0.0,0.0,0.0,1639399424.0,142196736.0,130781184.0,10702610432.0
60.592,0.042,30.192,9.174,0.0,0.0,0.0,2555904.0,1639534592.0,142196736.0,130781184.0,10702475264.0
59.983,0.083,32.805,7.086,0.0,0.042,0.0,8261632.0,1640042496.0,142196736.0,130781184.0,10701967360.0
66.528,0.042,33.431,0.0,0.0,0.0,0.0,0.0,1640177664.0,142196736.0,130781184.0,10701832192.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1640169472.0,142196736.0,130781184.0,10701840384.0
66.722,0.042,33.236,0.0,0.0,0.0,0.0,0.0,1640169472.0,142196736.0,130781184.0,10701840384.0
66.778,0.042,33.180,0.0,0.0,0.0,0.0,0.0,1640677376.0,142196736.0,130781184.0,10701332480.0
61.500,0.125,36.875,1.500,0.0,0.0,0.0,3051520.0,1640542208.0,142204928.0,130781184.0,10701459456.0
66.708,0.083,33.166,0.042,0.0,0.0,0.0,20480.0,1640538112.0,142204928.0,130785280.0,10701459456.0
66.722,0.042,33.236,0.0,0.0,0.0,0.0,0.0,1640538112.0,142204928.0,130785280.0,10701459456.0
66.653,0.125,33.222,0.0,0.0,0.0,0.0,0.0,1640538112.0,142204928.0,130785280.0,10701459456.0
66.708,0.042,33.250,0.0,0.0,0.0,0.0,0.0,1640546304.0,142204928.0,130785280.0,10701451264.0
66.667,0.083,33.250,0.0,0.0,0.0,0.0,0.0,1640538112.0,142204928.0,130785280.0,10701459456.0
66.708,0.083,33.125,0.083,0.0,0.0,0.0,12288.0,1640534016.0,142213120.0,130781184.0,10701459456.0
66.778,0.042,33.180,0.0,0.0,0.0,0.0,0.0,1640275968.0,142213120.0,130785280.0,10701713408.0
66.722,0.083,33.194,0.0,0.0,0.0,0.0,0.0,1640275968.0,142213120.0,130785280.0,10701713408.0
66.736,0.083,33.180,0.0,0.0,0.0,0.0,0.0,1640275968.0,142213120.0,130785280.0,10701713408.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1640275968.0,142213120.0,130785280.0,10701713408.0
66.708,0.083,33.208,0.0,0.0,0.0,0.0,0.0,1640148992.0,142213120.0,130785280.0,10701840384.0
66.750,0.042,33.125,0.083,0.0,0.0,0.0,12288.0,1640144896.0,142213120.0,130789376.0,10701840384.0
66.708,0.083,33.208,0.0,0.0,0.0,0.0,0.0,1640144896.0,142213120.0,130789376.0,10701840384.0
66.750,0.042,33.208,0.0,0.0,0.0,0.0,0.0,1640144896.0,142213120.0,130789376.0,10701840384.0
66.708,0.125,33.166,0.0,0.0,0.0,0.0,0.0,1640017920.0,142213120.0,130789376.0,10701967360.0
