"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-1.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.C.16.csv",,,,"Date:","28 Feb 2016 23:10:40 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.386,5.391,45.094,0.097,0.000,0.032,177672.272,541419.266,824836096.0,18309120.0,138575872.0,66676813824.0
33.667,5.658,60.613,0.0,0.0,0.063,0.0,0.0,876732416.0,18309120.0,149291008.0,66614202368.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,879898624.0,18309120.0,148459520.0,66611867648.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,880041984.0,18309120.0,148459520.0,66611724288.0
50.016,0.063,49.328,0.594,0.0,0.0,0.0,147456.0,879906816.0,18321408.0,148455424.0,66611851264.0
50.031,0.031,49.875,0.063,0.0,0.0,0.0,49152.0,877854720.0,18329600.0,148451328.0,66613899264.0
50.047,0.031,49.922,0.0,0.0,0.0,0.0,0.0,877518848.0,18329600.0,148459520.0,66614226944.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,877518848.0,18329600.0,148459520.0,66614226944.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,875220992.0,18329600.0,148459520.0,66616524800.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,874799104.0,18329600.0,148459520.0,66616946688.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,874848256.0,18329600.0,148459520.0,66616897536.0
50.047,0.031,49.922,0.0,0.0,0.0,0.0,0.0,873172992.0,18329600.0,148459520.0,66618572800.0
50.016,0.063,49.922,0.0,0.0,0.0,0.0,0.0,873054208.0,18329600.0,148459520.0,66618691584.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,872734720.0,18329600.0,148459520.0,66619011072.0
50.016,0.031,49.953,0.0,0.0,0.0,0.0,0.0,870707200.0,18329600.0,148459520.0,66621038592.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,870572032.0,18329600.0,148459520.0,66621173760.0
50.047,0.031,49.922,0.0,0.0,0.0,0.0,0.0,870199296.0,18329600.0,148459520.0,66621546496.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,868892672.0,18329600.0,148459520.0,66622853120.0
50.031,0.031,49.937,0.0,0.0,0.0,0.0,0.0,868646912.0,18329600.0,148459520.0,66623098880.0
50.031,0.063,49.906,0.0,0.0,0.0,0.0,0.0,868646912.0,18329600.0,148459520.0,66623098880.0
