"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-3.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.8.csv",,,,"Date:","29 Feb 2016 11:18:36 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
13.823,0.333,85.797,0.012,0.000,0.035,218.771,8170.000,326647808.0,142024704.0,120446976.0,12025868288.0
23.067,4.471,72.420,0.0,0.0,0.042,0.0,0.0,876838912.0,142024704.0,125521920.0,11470602240.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,877604864.0,142024704.0,125526016.0,11469832192.0
33.361,0.125,66.305,0.209,0.0,0.0,0.0,303104.0,877719552.0,142036992.0,125526016.0,11469705216.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,877060096.0,142036992.0,125526016.0,11470364672.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,876273664.0,142036992.0,125526016.0,11471151104.0
33.389,0.042,66.569,0.0,0.0,0.0,0.0,0.0,876195840.0,142036992.0,125526016.0,11471228928.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,875929600.0,142036992.0,125526016.0,11471495168.0
33.361,0.125,66.472,0.0,0.0,0.042,0.0,0.0,874688512.0,142036992.0,125526016.0,11472736256.0
33.389,0.042,66.569,0.0,0.0,0.0,0.0,0.0,874528768.0,142036992.0,125526016.0,11472896000.0
33.375,0.083,66.542,0.0,0.0,0.0,0.0,0.0,874270720.0,142036992.0,125526016.0,11473154048.0
33.417,0.042,66.542,0.0,0.0,0.0,0.0,0.0,873635840.0,142036992.0,125526016.0,11473788928.0
33.361,0.125,66.514,0.0,0.0,0.0,0.0,0.0,873095168.0,142036992.0,125526016.0,11474329600.0
33.431,0.083,66.486,0.0,0.0,0.0,0.0,0.0,872890368.0,142036992.0,125526016.0,11474534400.0
