"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-3.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.8.csv",,,,"Date:","29 Feb 2016 11:19:40 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
13.823,0.333,85.797,0.012,0.000,0.035,218.767,8172.100,325099520.0,142077952.0,120594432.0,12027215872.0
23.591,3.800,72.484,0.042,0.0,0.084,0.0,0.0,354017280.0,142077952.0,124194816.0,11994697728.0
33.375,0.042,66.583,0.0,0.0,0.0,0.0,0.0,353267712.0,142077952.0,125648896.0,11993993216.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,354041856.0,142077952.0,125652992.0,11993214976.0
33.361,0.042,66.555,0.042,0.0,0.0,0.0,98304.0,354979840.0,142090240.0,125640704.0,11992276992.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,353693696.0,142090240.0,125652992.0,11993550848.0
33.347,0.042,66.486,0.125,0.0,0.0,0.0,40960.0,353693696.0,142090240.0,125652992.0,11993550848.0
33.361,0.042,66.597,0.0,0.0,0.0,0.0,0.0,353280000.0,142090240.0,125652992.0,11993964544.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,352129024.0,142090240.0,125652992.0,11995115520.0
33.361,0.0,66.639,0.0,0.0,0.0,0.0,0.0,351739904.0,142090240.0,125652992.0,11995504640.0
33.347,0.042,66.611,0.0,0.0,0.0,0.0,0.0,351531008.0,142090240.0,125652992.0,11995713536.0
31.902,0.042,68.015,0.0,0.0,0.042,0.0,0.0,348852224.0,142090240.0,120872960.0,12003172352.0
