"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-7.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 13:10:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
20.626,1.821,77.521,0.029,0.000,0.003,14986.268,483554.278,888107008.0,361709568.0,1940893696.0,47550283776.0
3.835,0.333,95.832,0.0,0.0,0.0,0.0,0.0,1369337856.0,361709568.0,1940926464.0,47069020160.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1369460736.0,361709568.0,1940930560.0,47068893184.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1369444352.0,361709568.0,1940930560.0,47068909568.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1369313280.0,361709568.0,1940930560.0,47069040640.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1369313280.0,361709568.0,1940930560.0,47069040640.0
4.168,0.083,95.540,0.208,0.0,0.0,0.0,20480.0,1369313280.0,361709568.0,1940930560.0,47069040640.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1369313280.0,361709568.0,1940930560.0,47069040640.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1369186304.0,361709568.0,1940930560.0,47069167616.0
4.210,0.0,95.748,0.0,0.0,0.042,0.0,0.0,1369186304.0,361709568.0,1940930560.0,47069167616.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1369186304.0,361709568.0,1940930560.0,47069167616.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1368915968.0,361709568.0,1940930560.0,47069437952.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1368915968.0,361709568.0,1940930560.0,47069437952.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1352138752.0,361709568.0,1940930560.0,47086215168.0
4.128,0.042,95.788,0.0,0.0,0.042,0.0,0.0,1402023936.0,361709568.0,1940930560.0,47036329984.0
3.918,0.333,95.748,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1792917504.0,361709568.0,1940930560.0,46645436416.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1792917504.0,361709568.0,1940930560.0,46645436416.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792917504.0,361709568.0,1940930560.0,46645436416.0
4.207,0.083,95.668,0.0,0.0,0.042,0.0,0.0,1792917504.0,361709568.0,1940930560.0,46645436416.0
4.174,0.0,95.618,0.209,0.0,0.0,0.0,16384.0,1792917504.0,361709568.0,1940930560.0,46645436416.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792663552.0,361709568.0,1940930560.0,46645690368.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1792663552.0,361709568.0,1940930560.0,46645690368.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.212,0.083,95.705,0.0,0.0,0.0,0.0,0.0,1792790528.0,361709568.0,1940930560.0,46645563392.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792671744.0,361709568.0,1940930560.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792557056.0,361709568.0,1940930560.0,46645796864.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,1792684032.0,361709568.0,1940930560.0,46645669888.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792684032.0,361709568.0,1940930560.0,46645669888.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,8192.0,1792684032.0,361709568.0,1940930560.0,46645669888.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1792679936.0,361709568.0,1940930560.0,46645673984.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792679936.0,361709568.0,1940930560.0,46645673984.0
4.170,0.042,95.538,0.250,0.0,0.0,0.0,12288.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1792659456.0,361709568.0,1940934656.0,46645690368.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.172,0.0,95.786,0.0,0.0,0.042,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.0,95.788,0.0,0.0,0.042,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792667648.0,361709568.0,1940934656.0,46645682176.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.175,0.042,95.783,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,4096.0,1792675840.0,361709568.0,1940934656.0,46645673984.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792548864.0,361709568.0,1940934656.0,46645800960.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792548864.0,361709568.0,1940934656.0,46645800960.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792548864.0,361709568.0,1940934656.0,46645800960.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792548864.0,361709568.0,1940934656.0,46645800960.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940934656.0,46645809152.0
4.212,0.083,95.705,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940934656.0,46645809152.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940934656.0,46645809152.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940934656.0,46645809152.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940934656.0,46645809152.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940934656.0,46645809152.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940934656.0,46645809152.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940938752.0,46645809152.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940938752.0,46645809152.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940938752.0,46645809152.0
4.175,0.042,95.783,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.217,0.0,95.783,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.177,0.0,95.823,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792532480.0,361709568.0,1940938752.0,46645813248.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940938752.0,46645805056.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940938752.0,46645805056.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940938752.0,46645805056.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940938752.0,46645805056.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792540672.0,361709568.0,1940938752.0,46645805056.0
4.172,0.0,95.661,0.167,0.0,0.0,0.0,12288.0,1792540672.0,361709568.0,1940938752.0,46645805056.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792397312.0,361709568.0,1940938752.0,46645948416.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.212,0.083,95.705,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792405504.0,361709568.0,1940938752.0,46645940224.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792413696.0,361709568.0,1940938752.0,46645932032.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1792409600.0,361709568.0,1940942848.0,46645932032.0
4.175,0.042,95.783,0.0,0.0,0.0,0.0,0.0,1792409600.0,361709568.0,1940942848.0,46645932032.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,4096.0,1792409600.0,361709568.0,1940942848.0,46645932032.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792417792.0,361709568.0,1940942848.0,46645923840.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792417792.0,361709568.0,1940942848.0,46645923840.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792417792.0,361709568.0,1940942848.0,46645923840.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792417792.0,361709568.0,1940942848.0,46645923840.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792409600.0,361709568.0,1940942848.0,46645932032.0
4.177,0.0,95.823,0.0,0.0,0.0,0.0,0.0,1792409600.0,361709568.0,1940942848.0,46645932032.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1792409600.0,361709568.0,1940942848.0,46645932032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.174,0.0,95.659,0.167,0.0,0.0,0.0,12288.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1792528384.0,361709568.0,1940942848.0,46645813248.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.215,0.042,95.743,0.0,0.0,0.0,0.0,0.0,1792536576.0,361709568.0,1940942848.0,46645805056.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1792409600.0,361709568.0,1940942848.0,46645932032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1792417792.0,361709568.0,1940942848.0,46645923840.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1792417792.0,361709568.0,1940942848.0,46645923840.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1792417792.0,361709568.0,1940942848.0,46645923840.0
