"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-11.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 13:24:58 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
38.106,3.051,58.742,0.081,0.000,0.020,106278.675,900487.341,945909760.0,273715200.0,1829179392.0,64609820672.0
3.157,0.125,96.718,0.0,0.0,0.0,0.0,0.0,945979392.0,273715200.0,1829187584.0,64609742848.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,945709056.0,273715200.0,1829203968.0,64609996800.0
3.129,0.094,96.151,0.626,0.0,0.0,0.0,24576.0,945831936.0,273715200.0,1829208064.0,64609869824.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,945577984.0,273715200.0,1829208064.0,64610123776.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,945434624.0,273715200.0,1829208064.0,64610267136.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,945180672.0,273715200.0,1829208064.0,64610521088.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,944865280.0,273715200.0,1829208064.0,64610836480.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,12288.0,944738304.0,273715200.0,1829208064.0,64610963456.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,944619520.0,273715200.0,1829208064.0,64611082240.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,944205824.0,273715200.0,1829208064.0,64611495936.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,943927296.0,273715200.0,1829208064.0,64611774464.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,943702016.0,273715200.0,1829208064.0,64611999744.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,943706112.0,273715200.0,1829208064.0,64611995648.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,943443968.0,273715200.0,1829208064.0,64612257792.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,943300608.0,273715200.0,1829208064.0,64612401152.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,943157248.0,273715200.0,1829208064.0,64612544512.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,943030272.0,273715200.0,1829208064.0,64612671488.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,942895104.0,273715200.0,1829208064.0,64612806656.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,942886912.0,273715200.0,1829208064.0,64612814848.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,942505984.0,273715200.0,1829208064.0,64613195776.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,942379008.0,273715200.0,1829208064.0,64613322752.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,942514176.0,273715200.0,1829208064.0,64613187584.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,942387200.0,273715200.0,1829208064.0,64613314560.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,942252032.0,273715200.0,1829208064.0,64613449728.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,942186496.0,273715200.0,1829208064.0,64613515264.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,942059520.0,273715200.0,1829208064.0,64613642240.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,941989888.0,273715200.0,1829208064.0,64613711872.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,941940736.0,273715200.0,1829208064.0,64613761024.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,941821952.0,273715200.0,1829208064.0,64613879808.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,941559808.0,273715200.0,1829208064.0,64614141952.0
