"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 15:34:35 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.400,7.805,41.724,0.066,0.000,0.006,269.216,18554.198,905793536.0,79138816.0,92835840.0,66580856832.0
3.034,0.156,96.810,0.0,0.0,0.0,0.0,0.0,1082839040.0,79138816.0,92860416.0,66403786752.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1082462208.0,79138816.0,92864512.0,66404159488.0
3.162,0.031,96.807,0.0,0.0,0.0,0.0,0.0,1082707968.0,79138816.0,92864512.0,66403913728.0
3.131,0.063,96.212,0.595,0.0,0.0,0.0,16384.0,1080483840.0,79147008.0,92860416.0,66406133760.0
3.037,0.094,96.869,0.0,0.0,0.0,0.0,0.0,1250537472.0,79147008.0,92864512.0,66236076032.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1250152448.0,79147008.0,92864512.0,66236461056.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1249644544.0,79147008.0,92864512.0,66236968960.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,1248993280.0,79147008.0,92864512.0,66237620224.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,28672.0,1248866304.0,79147008.0,92864512.0,66237747200.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1248739328.0,79147008.0,92864512.0,66237874176.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1248595968.0,79147008.0,92864512.0,66238017536.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1247858688.0,79147008.0,92864512.0,66238754816.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1247350784.0,79147008.0,92864512.0,66239262720.0
3.162,0.031,96.775,0.031,0.0,0.0,0.0,102400.0,1246842880.0,79151104.0,92860416.0,66239770624.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,1246576640.0,79151104.0,92864512.0,66240032768.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1246429184.0,79151104.0,92864512.0,66240180224.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1246302208.0,79151104.0,92864512.0,66240307200.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,1246175232.0,79151104.0,92864512.0,66240434176.0
3.132,0.094,96.774,0.0,0.0,0.0,0.0,0.0,1245548544.0,79151104.0,92864512.0,66241060864.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1245167616.0,79151104.0,92864512.0,66241441792.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,1245040640.0,79151104.0,92864512.0,66241568768.0
