"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-3.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 19:48:35 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
15.127,0.360,84.462,0.013,0.000,0.038,235.725,8829.668,331403264.0,91422720.0,91611136.0,12100550656.0
4.123,0.083,95.793,0.0,0.0,0.0,0.0,0.0,362967040.0,91422720.0,91623424.0,12068974592.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,392073216.0,91422720.0,91623424.0,12039868416.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,16384.0,423518208.0,91430912.0,91619328.0,12008419328.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,452493312.0,91430912.0,91623424.0,11979440128.0
4.210,0.083,95.665,0.0,0.0,0.042,0.0,0.0,483381248.0,91430912.0,91623424.0,11948552192.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,514838528.0,91430912.0,91623424.0,11917094912.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,543801344.0,91430912.0,91623424.0,11888132096.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,575004672.0,91430912.0,91623424.0,11856928768.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,604110848.0,91430912.0,91623424.0,11827822592.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,635441152.0,91430912.0,91623424.0,11796492288.0
4.127,0.083,95.790,0.0,0.0,0.0,0.0,0.0,666378240.0,91430912.0,91623424.0,11765555200.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,4096.0,695738368.0,91430912.0,91623424.0,11736195072.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,727195648.0,91430912.0,91623424.0,11704737792.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,756301824.0,91430912.0,91623424.0,11675631616.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,787652608.0,91430912.0,91623424.0,11644280832.0
