"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-15.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 20:16:17 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
27.500,4.265,68.194,0.011,0.000,0.030,269539.002,455045.582,911331328.0,229621760.0,231432192.0,66286239744.0
3.124,0.031,96.845,0.0,0.0,0.0,0.0,0.0,910856192.0,229621760.0,231432192.0,66286714880.0
3.157,0.063,96.780,0.0,0.0,0.0,0.0,0.0,911470592.0,229621760.0,231460864.0,66286071808.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,911478784.0,229621760.0,231460864.0,66286063616.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,0.0,911478784.0,229621760.0,231460864.0,66286063616.0
3.125,0.062,96.812,0.0,0.0,0.0,0.0,0.0,911347712.0,229621760.0,231460864.0,66286194688.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,24576.0,911220736.0,229621760.0,231460864.0,66286321664.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,910901248.0,229621760.0,231460864.0,66286641152.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,910774272.0,229621760.0,231460864.0,66286768128.0
3.127,0.063,96.811,0.0,0.0,0.0,0.0,0.0,910766080.0,229621760.0,231460864.0,66286776320.0
3.125,0.062,96.812,0.0,0.0,0.0,0.0,0.0,910753792.0,229621760.0,231460864.0,66286788608.0
3.158,0.031,96.811,0.0,0.0,0.0,0.0,0.0,910753792.0,229621760.0,231460864.0,66286788608.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,910499840.0,229621760.0,231460864.0,66287042560.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,910483456.0,229621760.0,231460864.0,66287058944.0
3.128,0.0,96.872,0.0,0.0,0.0,0.0,0.0,906846208.0,229621760.0,231460864.0,66290696192.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,906465280.0,229621760.0,231460864.0,66291077120.0
