"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","26 Feb 2016 14:48:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.048,1.772,73.165,0.012,0.000,0.003,7338.519,217628.475,730284032.0,110489600.0,2973274112.0,46926946304.0
4.085,0.125,95.790,0.0,0.0,0.0,0.0,0.0,911142912.0,110489600.0,2973278208.0,46746083328.0
4.208,0.083,95.708,0.0,0.0,0.0,0.0,0.0,910512128.0,110489600.0,2973528064.0,46746464256.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,910381056.0,110489600.0,2973528064.0,46746595328.0
4.047,0.167,95.786,0.0,0.0,0.0,0.0,0.0,1077833728.0,110489600.0,2973528064.0,46579142656.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1077452800.0,110489600.0,2973528064.0,46579523584.0
4.174,0.0,95.701,0.125,0.0,0.0,0.0,12288.0,1076768768.0,110493696.0,2973523968.0,46580207616.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,24576.0,1076494336.0,110493696.0,2973528064.0,46580477952.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1075978240.0,110493696.0,2973528064.0,46580994048.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1075597312.0,110493696.0,2973528064.0,46581374976.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1075318784.0,110493696.0,2973528064.0,46581653504.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1075183616.0,110493696.0,2973528064.0,46581788672.0
4.175,0.0,95.449,0.376,0.0,0.0,0.0,102400.0,1074552832.0,110497792.0,2973528064.0,46582415360.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1073917952.0,110497792.0,2973528064.0,46583050240.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1073504256.0,110497792.0,2973528064.0,46583463936.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1072959488.0,110497792.0,2973528064.0,46584008704.0
4.175,0.042,95.783,0.0,0.0,0.0,0.0,0.0,1072959488.0,110497792.0,2973528064.0,46584008704.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1072832512.0,110497792.0,2973528064.0,46584135680.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,1071906816.0,110497792.0,2973528064.0,46585061376.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1071501312.0,110497792.0,2973528064.0,46585466880.0
4.177,0.0,95.823,0.0,0.0,0.0,0.0,0.0,1071247360.0,110497792.0,2973528064.0,46585720832.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1070985216.0,110497792.0,2973528064.0,46585982976.0
4.168,0.125,95.707,0.0,0.0,0.0,0.0,0.0,1070985216.0,110497792.0,2973528064.0,46585982976.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1070813184.0,110497792.0,2973528064.0,46586155008.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1070010368.0,110497792.0,2973528064.0,46586957824.0
4.208,0.042,95.750,0.0,0.0,0.0,0.0,0.0,1069883392.0,110497792.0,2973528064.0,46587084800.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1069502464.0,110497792.0,2973528064.0,46587465728.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1069395968.0,110497792.0,2973528064.0,46587572224.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1069395968.0,110497792.0,2973528064.0,46587572224.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1069133824.0,110497792.0,2973528064.0,46587834368.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1068752896.0,110497792.0,2973528064.0,46588215296.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1068625920.0,110497792.0,2973528064.0,46588342272.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,1068453888.0,110497792.0,2973528064.0,46588514304.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1068707840.0,110497792.0,2973528064.0,46588260352.0
4.172,0.083,95.745,0.0,0.0,0.0,0.0,0.0,1068621824.0,110497792.0,2973528064.0,46588346368.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,1068552192.0,110497792.0,2973528064.0,46588416000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1068244992.0,110497792.0,2973528064.0,46588723200.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1068208128.0,110497792.0,2973528064.0,46588760064.0
4.172,0.0,95.703,0.125,0.0,0.0,0.0,12288.0,1068335104.0,110497792.0,2973528064.0,46588633088.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1068335104.0,110497792.0,2973528064.0,46588633088.0
