"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","26 Feb 2016 14:54:29 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.048,1.772,73.165,0.012,0.000,0.003,7338.414,217625.385,726650880.0,110510080.0,2974171136.0,46929661952.0
4.003,0.250,95.746,0.0,0.0,0.0,0.0,0.0,1207910400.0,110510080.0,2974175232.0,46448398336.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,8192.0,1207537664.0,110510080.0,2974420992.0,46448525312.0
4.177,0.0,95.739,0.084,0.0,0.0,0.0,20480.0,1207664640.0,110518272.0,2974412800.0,46448398336.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1207656448.0,110518272.0,2974420992.0,46448398336.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1207328768.0,110518272.0,2974420992.0,46448726016.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1206689792.0,110518272.0,2974420992.0,46449364992.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1206681600.0,110518272.0,2974420992.0,46449373184.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1206394880.0,110518272.0,2974420992.0,46449659904.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1206394880.0,110518272.0,2974420992.0,46449659904.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1206251520.0,110518272.0,2974420992.0,46449803264.0
4.174,0.083,95.743,0.0,0.0,0.0,0.0,0.0,1205997568.0,110518272.0,2974420992.0,46450057216.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1205354496.0,110518272.0,2974420992.0,46450700288.0
3.880,0.334,95.786,0.0,0.0,0.0,0.0,0.0,1646325760.0,110518272.0,2974420992.0,46009729024.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1646071808.0,110518272.0,2974420992.0,46009982976.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1645944832.0,110518272.0,2974420992.0,46010109952.0
4.175,0.042,95.783,0.0,0.0,0.0,0.0,0.0,1645944832.0,110518272.0,2974420992.0,46010109952.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1645817856.0,110518272.0,2974420992.0,46010236928.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1645182976.0,110518272.0,2974420992.0,46010871808.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1644929024.0,110518272.0,2974420992.0,46011125760.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1644929024.0,110518272.0,2974420992.0,46011125760.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1644802048.0,110518272.0,2974420992.0,46011252736.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1644802048.0,110518272.0,2974420992.0,46011252736.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1644548096.0,110518272.0,2974420992.0,46011506688.0
4.212,0.0,95.621,0.167,0.0,0.0,0.0,16384.0,1643786240.0,110526464.0,2974412800.0,46012268544.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1643659264.0,110526464.0,2974412800.0,46012395520.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1643651072.0,110526464.0,2974420992.0,46012395520.0
4.174,0.083,95.743,0.0,0.0,0.0,0.0,0.0,1643339776.0,110526464.0,2974420992.0,46012706816.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1643339776.0,110526464.0,2974420992.0,46012706816.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1643421696.0,110526464.0,2974420992.0,46012624896.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1642921984.0,110526464.0,2974420992.0,46013124608.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1642995712.0,110526464.0,2974420992.0,46013050880.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1642995712.0,110526464.0,2974420992.0,46013050880.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1642770432.0,110526464.0,2974420992.0,46013276160.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1642778624.0,110526464.0,2974420992.0,46013267968.0
4.172,0.0,95.703,0.125,0.0,0.0,0.0,12288.0,1642729472.0,110530560.0,2974416896.0,46013317120.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1642549248.0,110530560.0,2974416896.0,46013497344.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,12288.0,1642545152.0,110530560.0,2974420992.0,46013497344.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1642418176.0,110530560.0,2974420992.0,46013624320.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1642414080.0,110530560.0,2974420992.0,46013628416.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1642414080.0,110530560.0,2974420992.0,46013628416.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1642409984.0,110530560.0,2974425088.0,46013628416.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1642409984.0,110530560.0,2974425088.0,46013628416.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1642401792.0,110530560.0,2974425088.0,46013636608.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1642528768.0,110530560.0,2974425088.0,46013509632.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1642655744.0,110530560.0,2974425088.0,46013382656.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1642655744.0,110530560.0,2974425088.0,46013382656.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1642655744.0,110530560.0,2974425088.0,46013382656.0
