"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 15:21:00 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.048,1.772,73.165,0.012,0.000,0.003,7337.956,217611.873,713093120.0,110841856.0,2976997376.0,46940061696.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,750833664.0,110841856.0,2976997376.0,46902321152.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,788520960.0,110841856.0,2977058816.0,46864572416.0
4.172,0.042,95.620,0.167,0.0,0.0,0.0,24576.0,828612608.0,110841856.0,2977058816.0,46824480768.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,863756288.0,110841856.0,2977058816.0,46789337088.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,903475200.0,110841856.0,2977058816.0,46749618176.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,940445696.0,110841856.0,2977058816.0,46712647680.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,978067456.0,110841856.0,2977058816.0,46675025920.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1015308288.0,110841856.0,2977058816.0,46637785088.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1052770304.0,110841856.0,2977058816.0,46600323072.0
4.170,0.125,95.705,0.0,0.0,0.0,0.0,0.0,1090138112.0,110841856.0,2977058816.0,46562955264.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1127788544.0,110841856.0,2977058816.0,46525304832.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1165156352.0,110841856.0,2977058816.0,46487937024.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1202524160.0,110841856.0,2977058816.0,46450569216.0
4.134,0.042,95.825,0.0,0.0,0.0,0.0,0.0,1239756800.0,110841856.0,2977058816.0,46413336576.0
3.840,0.376,95.785,0.0,0.0,0.0,0.0,0.0,1781710848.0,110841856.0,2977058816.0,45871382528.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,1815281664.0,110841856.0,2977058816.0,45837811712.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1815281664.0,110841856.0,2977058816.0,45837811712.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1814773760.0,110841856.0,2977058816.0,45838319616.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1814646784.0,110841856.0,2977058816.0,45838446592.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1813757952.0,110841856.0,2977058816.0,45839335424.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1813630976.0,110841856.0,2977058816.0,45839462400.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1813630976.0,110841856.0,2977058816.0,45839462400.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1813516288.0,110841856.0,2977058816.0,45839577088.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1812963328.0,110841856.0,2977058816.0,45840130048.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1812836352.0,110841856.0,2977058816.0,45840257024.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1812201472.0,110841856.0,2977058816.0,45840891904.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1812074496.0,110841856.0,2977058816.0,45841018880.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1812074496.0,110841856.0,2977058816.0,45841018880.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1812074496.0,110841856.0,2977058816.0,45841018880.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,8192.0,1811648512.0,110841856.0,2977058816.0,45841444864.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1811750912.0,110841856.0,2977058816.0,45841342464.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1811419136.0,110841856.0,2977058816.0,45841674240.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,1811185664.0,110841856.0,2977058816.0,45841907712.0


"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 15:21:35 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.048,1.772,73.165,0.012,0.000,0.003,7337.946,217611.574,706400256.0,110841856.0,2977062912.0,46946689024.0
8.330,0.083,91.587,0.0,0.0,0.0,0.0,0.0,781553664.0,110841856.0,2977062912.0,46871535616.0
8.260,0.125,91.615,0.0,0.0,0.0,0.0,0.0,857305088.0,110841856.0,2977062912.0,46795784192.0
8.260,0.083,91.656,0.0,0.0,0.0,0.0,0.0,937451520.0,110841856.0,2977062912.0,46715637760.0
8.340,0.083,91.576,0.0,0.0,0.0,0.0,0.0,1012822016.0,110841856.0,2977062912.0,46640267264.0
8.260,0.083,91.656,0.0,0.0,0.0,0.0,0.0,1088569344.0,110841856.0,2977067008.0,46564515840.0
8.299,0.083,91.451,0.167,0.0,0.0,0.0,20480.0,1163935744.0,110845952.0,2977067008.0,46489145344.0
8.302,0.042,91.656,0.0,0.0,0.0,0.0,0.0,1239482368.0,110845952.0,2977067008.0,46413598720.0
7.920,0.500,91.580,0.0,0.0,0.0,0.0,0.0,1810706432.0,110845952.0,2977067008.0,45842374656.0
8.347,0.0,91.653,0.0,0.0,0.0,0.0,0.0,1810395136.0,110845952.0,2977067008.0,45842685952.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,1810268160.0,110845952.0,2977067008.0,45842812928.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,1810268160.0,110845952.0,2977067008.0,45842812928.0
8.347,0.0,91.653,0.0,0.0,0.0,0.0,0.0,1810141184.0,110845952.0,2977067008.0,45842939904.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,1810141184.0,110845952.0,2977067008.0,45842939904.0
8.340,0.042,91.618,0.0,0.0,0.0,0.0,0.0,1810141184.0,110845952.0,2977067008.0,45842939904.0
8.337,0.083,91.580,0.0,0.0,0.0,0.0,0.0,1809985536.0,110845952.0,2977067008.0,45843095552.0
8.344,0.042,91.615,0.0,0.0,0.0,0.0,0.0,1809985536.0,110845952.0,2977067008.0,45843095552.0
8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1809985536.0,110845952.0,2977067008.0,45843095552.0


"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 15:21:56 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.048,1.772,73.165,0.012,0.000,0.003,7337.940,217611.404,710541312.0,110845952.0,2977067008.0,46942539776.0
16.632,0.042,83.326,0.0,0.0,0.0,0.0,0.0,861519872.0,110845952.0,2977067008.0,46791561216.0
