"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-4.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","26 Feb 2016 18:14:12 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
17.515,0.402,82.023,0.031,0.000,0.030,731.931,25541.861,312225792.0,111054848.0,148856832.0,12042850304.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,312201216.0,111054848.0,149135360.0,12042596352.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,312184832.0,111054848.0,149151744.0,12042596352.0
4.170,0.083,95.580,0.167,0.0,0.0,0.0,20480.0,312057856.0,111054848.0,149151744.0,12042723328.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,311803904.0,111054848.0,149151744.0,12042977280.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,311406592.0,111054848.0,149151744.0,12043374592.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,310890496.0,111054848.0,149151744.0,12043890688.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,310763520.0,111054848.0,149151744.0,12044017664.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,310128640.0,111054848.0,149151744.0,12044652544.0
4.172,0.083,95.745,0.0,0.0,0.0,0.0,8192.0,309866496.0,111054848.0,149151744.0,12044914688.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,309571584.0,111054848.0,149151744.0,12045209600.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,309190656.0,111054848.0,149151744.0,12045590528.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,308682752.0,111054848.0,149151744.0,12046098432.0
4.210,0.083,95.707,0.0,0.0,0.0,0.0,0.0,308404224.0,111054848.0,149151744.0,12046376960.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,307896320.0,111054848.0,149151744.0,12046884864.0
4.168,0.125,95.707,0.0,0.0,0.0,0.0,0.0,307785728.0,111054848.0,149151744.0,12046995456.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,307531776.0,111054848.0,149151744.0,12047249408.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,307159040.0,111054848.0,149151744.0,12047622144.0
