"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","26 Feb 2016 16:44:01 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.687,7.691,42.551,0.065,0.000,0.005,265.567,18302.307,874520576.0,97316864.0,100679680.0,66586107904.0
3.128,0.063,96.684,0.125,0.0,0.0,0.0,0.0,874647552.0,97320960.0,100675584.0,66585980928.0
3.133,0.031,96.366,0.470,0.0,0.0,0.0,20480.0,874221568.0,97325056.0,100732928.0,66586345472.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,874213376.0,97325056.0,100741120.0,66586345472.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,16384.0,873517056.0,97325056.0,100741120.0,66587041792.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,873381888.0,97325056.0,100741120.0,66587176960.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,872620032.0,97325056.0,100741120.0,66587938816.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,872275968.0,97325056.0,100741120.0,66588282880.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,871600128.0,97325056.0,100741120.0,66588958720.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,871600128.0,97325056.0,100741120.0,66588958720.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,870457344.0,97325056.0,100741120.0,66590101504.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,870457344.0,97325056.0,100741120.0,66590101504.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,870076416.0,97325056.0,100741120.0,66590482432.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,869933056.0,97325056.0,100741120.0,66590625792.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,869466112.0,97325056.0,100741120.0,66591092736.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,869466112.0,97325056.0,100741120.0,66591092736.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,868360192.0,97325056.0,100741120.0,66592198656.0
