"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","25 Feb 2016 17:44:46 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.116,1.776,73.094,0.012,0.000,0.003,7359.026,218265.587,992583680.0,95195136.0,2994081792.0,46659133440.0
3.835,0.375,95.790,0.0,0.0,0.0,0.0,0.0,1471139840.0,95195136.0,2994118656.0,46180540416.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1471131648.0,95195136.0,2994118656.0,46180548608.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1471131648.0,95195136.0,2994118656.0,46180548608.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1471066112.0,95195136.0,2994118656.0,46180614144.0
4.172,0.042,95.536,0.250,0.0,0.0,0.0,24576.0,1471066112.0,95195136.0,2994118656.0,46180614144.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1470939136.0,95195136.0,2994118656.0,46180741120.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1470939136.0,95195136.0,2994118656.0,46180741120.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1470812160.0,95195136.0,2994118656.0,46180868096.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1470685184.0,95195136.0,2994118656.0,46180995072.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1470685184.0,95195136.0,2994118656.0,46180995072.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1470644224.0,95195136.0,2994118656.0,46181036032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1470636032.0,95195136.0,2994118656.0,46181044224.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1475338240.0,95195136.0,2994118656.0,46176342016.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1475338240.0,95195136.0,2994118656.0,46176342016.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1475338240.0,95195136.0,2994118656.0,46176342016.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1475338240.0,95195136.0,2994118656.0,46176342016.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1475330048.0,95195136.0,2994118656.0,46176350208.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,12288.0,1475338240.0,95195136.0,2994118656.0,46176342016.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1475334144.0,95195136.0,2994118656.0,46176346112.0
