"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 18:09:59 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.114,1.776,73.095,0.012,0.000,0.003,7358.588,218252.638,977174528.0,95371264.0,2994323456.0,46674124800.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,977412096.0,95371264.0,2994331648.0,46673879040.0
4.170,0.083,95.580,0.167,0.0,0.0,0.0,49152.0,977788928.0,95371264.0,2994352128.0,46673481728.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,977534976.0,95371264.0,2994352128.0,46673735680.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,977555456.0,95371264.0,2994352128.0,46673715200.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,977428480.0,95371264.0,2994352128.0,46673842176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,977428480.0,95371264.0,2994352128.0,46673842176.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,977293312.0,95371264.0,2994352128.0,46673977344.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,977158144.0,95371264.0,2994352128.0,46674112512.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,977080320.0,95371264.0,2994352128.0,46674190336.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976953344.0,95371264.0,2994352128.0,46674317312.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976945152.0,95371264.0,2994352128.0,46674325504.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976945152.0,95371264.0,2994352128.0,46674325504.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976945152.0,95371264.0,2994352128.0,46674325504.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976818176.0,95371264.0,2994352128.0,46674452480.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976818176.0,95371264.0,2994352128.0,46674452480.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976691200.0,95371264.0,2994352128.0,46674579456.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,976691200.0,95371264.0,2994352128.0,46674579456.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976691200.0,95371264.0,2994352128.0,46674579456.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976691200.0,95371264.0,2994352128.0,46674579456.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976633856.0,95371264.0,2994352128.0,46674636800.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,12288.0,976633856.0,95375360.0,2994348032.0,46674636800.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976601088.0,95375360.0,2994348032.0,46674669568.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,32768.0,976596992.0,95375360.0,2994352128.0,46674669568.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,976605184.0,95375360.0,2994352128.0,46674661376.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,976605184.0,95375360.0,2994352128.0,46674661376.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,976605184.0,95375360.0,2994352128.0,46674661376.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,976605184.0,95375360.0,2994352128.0,46674661376.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,976605184.0,95375360.0,2994352128.0,46674661376.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,976601088.0,95375360.0,2994352128.0,46674665472.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,976601088.0,95375360.0,2994352128.0,46674665472.0
4.215,0.083,95.701,0.0,0.0,0.0,0.0,0.0,976601088.0,95375360.0,2994352128.0,46674665472.0
