"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 14:15:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.437,7.811,41.680,0.066,0.000,0.006,269.424,18568.129,869167104.0,78508032.0,93745152.0,66617204736.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,870309888.0,78508032.0,93749248.0,66616057856.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,870281216.0,78508032.0,93769728.0,66616066048.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,870408192.0,78508032.0,93769728.0,66615939072.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,870154240.0,78508032.0,93769728.0,66616193024.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,870154240.0,78508032.0,93769728.0,66616193024.0
3.132,0.031,96.242,0.595,0.0,0.0,0.0,16384.0,870023168.0,78512128.0,93769728.0,66616320000.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,869769216.0,78512128.0,93769728.0,66616573952.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,869642240.0,78512128.0,93769728.0,66616700928.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,869515264.0,78512128.0,93769728.0,66616827904.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,869244928.0,78512128.0,93769728.0,66617098240.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,869105664.0,78512128.0,93769728.0,66617237504.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,869101568.0,78512128.0,93769728.0,66617241600.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,868896768.0,78512128.0,93769728.0,66617446400.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,868593664.0,78512128.0,93769728.0,66617749504.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,868593664.0,78512128.0,93769728.0,66617749504.0
