"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","25 Feb 2016 15:03:53 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
50.415,7.807,41.707,0.066,0.000,0.006,269.298,18559.573,883130368.0,78921728.0,94191616.0,66602381312.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,898039808.0,78921728.0,94208000.0,66587455488.0
3.124,0.062,96.782,0.0,0.0,0.031,0.0,0.0,914575360.0,78921728.0,94212096.0,66570915840.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,931344384.0,78921728.0,94212096.0,66554146816.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,946024448.0,78921728.0,94212096.0,66539466752.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,962801664.0,78921728.0,94212096.0,66522689536.0
3.097,0.063,96.747,0.063,0.0,0.031,0.0,20480.0,979566592.0,78925824.0,94208000.0,66505924608.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,993869824.0,78925824.0,94212096.0,66491617280.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1010585600.0,78925824.0,94212096.0,66474901504.0
3.128,0.031,96.810,0.0,0.0,0.031,0.0,0.0,1027346432.0,78925824.0,94212096.0,66458140672.0
3.099,0.063,96.839,0.0,0.0,0.0,0.0,0.0,1042006016.0,78925824.0,94212096.0,66443481088.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1058783232.0,78925824.0,94212096.0,66426703872.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1075687424.0,78925824.0,94212096.0,66409799680.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,1090240512.0,78925824.0,94212096.0,66395246592.0
3.125,0.062,96.812,0.0,0.0,0.0,0.0,0.0,1106890752.0,78925824.0,94212096.0,66378596352.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1123676160.0,78925824.0,94212096.0,66361810944.0
3.158,0.063,96.748,0.0,0.0,0.031,0.0,0.0,1138356224.0,78925824.0,94212096.0,66347130880.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1155260416.0,78925824.0,94212096.0,66330226688.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1172037632.0,78925824.0,94212096.0,66313449472.0
3.129,0.031,96.809,0.0,0.0,0.031,0.0,0.0,1186607104.0,78925824.0,94212096.0,66298880000.0
3.126,0.094,96.749,0.0,0.0,0.031,0.0,0.0,1203384320.0,78925824.0,94212096.0,66282102784.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1218064384.0,78925824.0,94212096.0,66267422720.0
3.098,0.063,96.840,0.0,0.0,0.0,0.0,0.0,1234841600.0,78925824.0,94212096.0,66250645504.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1251614720.0,78925824.0,94212096.0,66233872384.0
3.127,0.063,96.779,0.0,0.0,0.031,0.0,0.0,1266294784.0,78925824.0,94212096.0,66219192320.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,1283207168.0,78925824.0,94212096.0,66202279936.0
3.125,0.062,96.781,0.0,0.0,0.031,0.0,0.0,1299841024.0,78925824.0,94212096.0,66185646080.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1314521088.0,78925824.0,94212096.0,66170966016.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1331298304.0,78925824.0,94212096.0,66154188800.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1348202496.0,78925824.0,94212096.0,66137284608.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1362882560.0,78925824.0,94212096.0,66122604544.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1379786752.0,78925824.0,94212096.0,66105700352.0
3.128,0.094,96.184,0.563,0.0,0.031,0.0,12288.0,1396432896.0,78929920.0,94212096.0,66089050112.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1411239936.0,78929920.0,94212096.0,66074243072.0
2.753,0.469,96.777,0.0,0.0,0.0,0.0,0.0,1955418112.0,78929920.0,94212096.0,65530064896.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1955434496.0,78929920.0,94212096.0,65530048512.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1989177344.0,78929920.0,94212096.0,65496305664.0
