"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-13.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","25 Feb 2016 18:19:16 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
48.361,3.678,47.931,0.025,0.000,0.005,136933.582,776260.840,886124544.0,89575424.0,70021120.0,66612903936.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,886378496.0,89575424.0,70029312.0,66612641792.0
3.130,0.031,96.808,0.0,0.0,0.031,0.0,0.0,886353920.0,89575424.0,70045696.0,66612649984.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,886353920.0,89575424.0,70045696.0,66612649984.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,886349824.0,89575424.0,70045696.0,66612654080.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,886349824.0,89575424.0,70045696.0,66612654080.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,16384.0,886222848.0,89583616.0,70037504.0,66612781056.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,886222848.0,89583616.0,70037504.0,66612781056.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,886153216.0,89583616.0,70045696.0,66612842496.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,886136832.0,89583616.0,70045696.0,66612858880.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,885985280.0,89583616.0,70045696.0,66613010432.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,885985280.0,89583616.0,70045696.0,66613010432.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,12288.0,885952512.0,89587712.0,70041600.0,66613043200.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,885944320.0,89587712.0,70041600.0,66613051392.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,885948416.0,89587712.0,70045696.0,66613043200.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,885948416.0,89587712.0,70045696.0,66613043200.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,885948416.0,89587712.0,70045696.0,66613043200.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,885948416.0,89587712.0,70045696.0,66613043200.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,885944320.0,89587712.0,70045696.0,66613047296.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,885944320.0,89587712.0,70045696.0,66613047296.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,885944320.0,89587712.0,70045696.0,66613047296.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,885944320.0,89587712.0,70045696.0,66613047296.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,885817344.0,89587712.0,70045696.0,66613174272.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,885817344.0,89587712.0,70045696.0,66613174272.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,885825536.0,89587712.0,70045696.0,66613166080.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,885825536.0,89587712.0,70045696.0,66613166080.0
3.131,0.031,96.838,0.0,0.0,0.0,0.0,0.0,885825536.0,89587712.0,70045696.0,66613166080.0
3.132,0.031,96.837,0.0,0.0,0.0,0.0,0.0,885825536.0,89587712.0,70045696.0,66613166080.0
3.162,0.063,96.775,0.0,0.0,0.0,0.0,0.0,885825536.0,89587712.0,70045696.0,66613166080.0
