"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-13.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 18:44:16 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
48.357,3.677,47.936,0.025,0.000,0.005,136920.090,776184.412,894435328.0,89862144.0,70246400.0,66604081152.0
3.094,0.094,96.812,0.0,0.0,0.0,0.0,0.0,923787264.0,89862144.0,70246400.0,66574729216.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,16384.0,953266176.0,89870336.0,70242304.0,66545246208.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,980520960.0,89870336.0,70250496.0,66517983232.0
3.097,0.125,96.778,0.0,0.0,0.0,0.0,0.0,1010008064.0,89870336.0,70250496.0,66488496128.0
3.033,0.188,96.779,0.0,0.0,0.0,0.0,0.0,1169580032.0,89870336.0,70250496.0,66328924160.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1169436672.0,89870336.0,70250496.0,66329067520.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1169301504.0,89870336.0,70250496.0,66329202688.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1169166336.0,89870336.0,70250496.0,66329337856.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,1168912384.0,89870336.0,70250496.0,66329591808.0


"Host:","compute-641-13.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 18:44:28 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
48.356,3.677,47.936,0.025,0.000,0.005,136919.988,776183.835,899657728.0,89870336.0,70254592.0,66598842368.0
3.095,0.094,96.812,0.0,0.0,0.0,0.0,0.0,929009664.0,89870336.0,70254592.0,66569490432.0
3.129,0.125,96.746,0.0,0.0,0.0,0.0,20480.0,958619648.0,89878528.0,70250496.0,66539876352.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,986132480.0,89878528.0,70254592.0,66512359424.0
3.097,0.094,96.810,0.0,0.0,0.0,0.0,0.0,1015365632.0,89878528.0,70254592.0,66483126272.0
3.035,0.156,96.809,0.0,0.0,0.0,0.0,8192.0,1174429696.0,89878528.0,70254592.0,66324062208.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1174429696.0,89878528.0,70254592.0,66324062208.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1174294528.0,89878528.0,70254592.0,66324197376.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1174233088.0,89878528.0,70254592.0,66324258816.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1174233088.0,89878528.0,70254592.0,66324258816.0


"Host:","compute-641-13.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 18:44:39 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
48.356,3.677,47.936,0.025,0.000,0.005,136919.886,776183.260,894906368.0,89878528.0,70254592.0,66603585536.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,923512832.0,89878528.0,70254592.0,66574979072.0
3.098,0.094,96.809,0.0,0.0,0.0,0.0,0.0,952872960.0,89878528.0,70254592.0,66545618944.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,980262912.0,89878528.0,70254592.0,66518228992.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,1009504256.0,89878528.0,70254592.0,66488987648.0
3.036,0.156,96.808,0.0,0.0,0.0,0.0,0.0,1168568320.0,89878528.0,70254592.0,66329923584.0
3.127,0.063,96.748,0.031,0.0,0.031,0.0,16384.0,1168568320.0,89882624.0,70250496.0,66329923584.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1168314368.0,89882624.0,70250496.0,66330177536.0
3.128,0.094,96.778,0.0,0.0,0.0,0.0,0.0,1168236544.0,89882624.0,70254592.0,66330251264.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1161953280.0,89882624.0,70254592.0,66336534528.0


"Host:","compute-641-13.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","25 Feb 2016 18:44:50 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
48.356,3.677,47.936,0.025,0.000,0.005,136919.784,776182.684,892809216.0,89882624.0,70254592.0,66605678592.0
3.157,0.094,96.749,0.0,0.0,0.0,0.0,0.0,922558464.0,89882624.0,70254592.0,66575929344.0
3.099,0.094,96.808,0.0,0.0,0.0,0.0,0.0,952061952.0,89882624.0,70254592.0,66546425856.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,0.0,979578880.0,89882624.0,70254592.0,66518908928.0
3.098,0.125,96.777,0.0,0.0,0.0,0.0,0.0,1009057792.0,89882624.0,70258688.0,66489425920.0
3.003,0.219,96.778,0.0,0.0,0.0,0.0,0.0,1168756736.0,89882624.0,70258688.0,66329726976.0
3.130,0.094,96.776,0.0,0.0,0.0,0.0,16384.0,1168441344.0,89886720.0,70254592.0,66330042368.0
3.160,0.063,96.746,0.0,0.0,0.031,0.0,0.0,1168355328.0,89886720.0,70258688.0,66330124288.0
