"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","26 Feb 2016 00:51:15 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.096,1.775,73.113,0.012,0.000,0.003,7351.627,218056.526,987189248.0,105123840.0,3002683392.0,46645997568.0
4.043,0.125,95.832,0.0,0.0,0.0,0.0,4096.0,1169711104.0,105123840.0,3002683392.0,46463475712.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1169707008.0,105123840.0,3002687488.0,46463475712.0
4.212,0.042,95.663,0.083,0.0,0.0,0.0,24576.0,1169707008.0,105123840.0,3002687488.0,46463475712.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1169588224.0,105123840.0,3002687488.0,46463594496.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1169588224.0,105123840.0,3002687488.0,46463594496.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1169588224.0,105123840.0,3002687488.0,46463594496.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1169461248.0,105123840.0,3002687488.0,46463721472.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1169453056.0,105123840.0,3002687488.0,46463729664.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1169453056.0,105123840.0,3002687488.0,46463729664.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1169453056.0,105123840.0,3002687488.0,46463729664.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1169444864.0,105123840.0,3002687488.0,46463737856.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1169444864.0,105123840.0,3002687488.0,46463737856.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1171476480.0,105123840.0,3002687488.0,46461706240.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1171476480.0,105123840.0,3002687488.0,46461706240.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1171476480.0,105123840.0,3002687488.0,46461706240.0
