"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","26 Feb 2016 02:13:10 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.092,1.775,73.118,0.012,0.000,0.003,7350.207,218014.539,980365312.0,105644032.0,3003342848.0,46651641856.0
4.205,0.042,95.754,0.0,0.0,0.0,0.0,0.0,980230144.0,105644032.0,3003351040.0,46651768832.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,980230144.0,105644032.0,3003351040.0,46651768832.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,980348928.0,105644032.0,3003351040.0,46651650048.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,980348928.0,105644032.0,3003351040.0,46651650048.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,980348928.0,105644032.0,3003351040.0,46651650048.0
4.172,0.0,95.661,0.167,0.0,0.0,0.0,16384.0,980131840.0,105648128.0,3003351040.0,46651863040.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,980004864.0,105648128.0,3003351040.0,46651990016.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,980004864.0,105648128.0,3003351040.0,46651990016.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979877888.0,105648128.0,3003351040.0,46652116992.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,979861504.0,105648128.0,3003351040.0,46652133376.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979734528.0,105648128.0,3003351040.0,46652260352.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,979730432.0,105648128.0,3003351040.0,46652264448.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979718144.0,105648128.0,3003351040.0,46652276736.0
4.174,0.0,95.743,0.083,0.0,0.0,0.0,12288.0,979587072.0,105652224.0,3003351040.0,46652403712.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979550208.0,105652224.0,3003351040.0,46652440576.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,979550208.0,105652224.0,3003351040.0,46652440576.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,979423232.0,105652224.0,3003351040.0,46652567552.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,979423232.0,105652224.0,3003351040.0,46652567552.0
4.170,0.042,95.746,0.0,0.0,0.042,0.0,0.0,979423232.0,105652224.0,3003351040.0,46652567552.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,979423232.0,105652224.0,3003351040.0,46652567552.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,979423232.0,105652224.0,3003351040.0,46652567552.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,979423232.0,105652224.0,3003351040.0,46652567552.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,979296256.0,105652224.0,3003351040.0,46652694528.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,979296256.0,105652224.0,3003351040.0,46652694528.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979296256.0,105652224.0,3003351040.0,46652694528.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,979296256.0,105652224.0,3003351040.0,46652694528.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979296256.0,105652224.0,3003351040.0,46652694528.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,979296256.0,105652224.0,3003351040.0,46652694528.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,979042304.0,105652224.0,3003351040.0,46652948480.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,979042304.0,105652224.0,3003351040.0,46652948480.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979042304.0,105652224.0,3003351040.0,46652948480.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,979050496.0,105652224.0,3003351040.0,46652940288.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,979050496.0,105652224.0,3003351040.0,46652940288.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,979050496.0,105652224.0,3003351040.0,46652940288.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,978960384.0,105652224.0,3003351040.0,46653030400.0
