"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.A.x.csv",,,,"Date:","26 Feb 2016 02:49:38 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.091,1.775,73.120,0.012,0.000,0.003,7349.575,217995.846,980742144.0,105836544.0,3003588608.0,46650826752.0
4.165,0.083,95.752,0.0,0.0,0.0,0.0,0.0,995418112.0,105836544.0,3003592704.0,46636146688.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1010352128.0,105836544.0,3003592704.0,46621212672.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1047900160.0,105836544.0,3003592704.0,46583664640.0


"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.A.x.csv",,,,"Date:","26 Feb 2016 02:49:43 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.091,1.775,73.120,0.012,0.000,0.003,7349.574,217995.798,980078592.0,105840640.0,3003596800.0,46651478016.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,995147776.0,105840640.0,3003596800.0,46636408832.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1010081792.0,105840640.0,3003596800.0,46621474816.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1047511040.0,105840640.0,3003596800.0,46584045568.0


"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.A.x.csv",,,,"Date:","26 Feb 2016 02:49:49 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.091,1.775,73.120,0.012,0.000,0.003,7349.572,217995.749,980262912.0,105848832.0,3003588608.0,46651293696.0
4.165,0.083,95.752,0.0,0.0,0.0,0.0,0.0,995323904.0,105848832.0,3003596800.0,46636224512.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1009999872.0,105848832.0,3003596800.0,46621548544.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,1047556096.0,105848832.0,3003596800.0,46583992320.0


"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.A.x.csv",,,,"Date:","26 Feb 2016 02:49:55 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.091,1.775,73.120,0.012,0.000,0.003,7349.570,217995.701,980262912.0,105852928.0,3003592704.0,46651285504.0
4.167,0.0,95.833,0.0,0.0,0.0,0.0,12288.0,995057664.0,105852928.0,3003596800.0,46636486656.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1009614848.0,105852928.0,3003596800.0,46621929472.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1047306240.0,105852928.0,3003596800.0,46584238080.0


"Host:","compute-431-8.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.A.x.csv",,,,"Date:","26 Feb 2016 02:50:01 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
25.091,1.775,73.120,0.012,0.000,0.003,7349.569,217995.652,979992576.0,105852928.0,3003596800.0,46651551744.0
4.167,0.083,95.583,0.167,0.0,0.0,0.0,45056.0,995819520.0,105861120.0,3003592704.0,46635720704.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1011126272.0,105861120.0,3003596800.0,46620409856.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1048932352.0,105861120.0,3003600896.0,46582599680.0
