"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","26 Feb 2016 12:43:59 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.057,1.753,74.159,0.028,0.000,0.003,11447.264,493646.016,1002647552.0,368832512.0,8438915072.0,40930598912.0
3.832,0.375,95.793,0.0,0.0,0.0,0.0,0.0,1481490432.0,368832512.0,8438919168.0,40451751936.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1481461760.0,368832512.0,8438947840.0,40451751936.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1481580544.0,368832512.0,8438947840.0,40451633152.0
4.175,0.0,95.658,0.167,0.0,0.0,0.0,24576.0,1481453568.0,368832512.0,8438947840.0,40451760128.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1481453568.0,368832512.0,8438947840.0,40451760128.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1481453568.0,368832512.0,8438947840.0,40451760128.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1481199616.0,368832512.0,8438947840.0,40452014080.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1481146368.0,368832512.0,8438947840.0,40452067328.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1481011200.0,368832512.0,8438947840.0,40452202496.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,12288.0,1481007104.0,368832512.0,8438947840.0,40452206592.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1481007104.0,368832512.0,8438947840.0,40452206592.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1481007104.0,368832512.0,8438947840.0,40452206592.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1480753152.0,368832512.0,8438947840.0,40452460544.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1480753152.0,368832512.0,8438947840.0,40452460544.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1480716288.0,368832512.0,8438947840.0,40452497408.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1484910592.0,368832512.0,8438947840.0,40448303104.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1484791808.0,368832512.0,8438947840.0,40448421888.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1484673024.0,368832512.0,8438947840.0,40448540672.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1484673024.0,368832512.0,8438947840.0,40448540672.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1484656640.0,368832512.0,8438947840.0,40448557056.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1484656640.0,368832512.0,8438947840.0,40448557056.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1484656640.0,368832512.0,8438947840.0,40448557056.0
4.168,0.042,95.748,0.0,0.0,0.042,0.0,0.0,1484656640.0,368832512.0,8438947840.0,40448557056.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,1484529664.0,368832512.0,8438947840.0,40448684032.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1484529664.0,368832512.0,8438947840.0,40448684032.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1484402688.0,368832512.0,8438947840.0,40448811008.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1484402688.0,368832512.0,8438947840.0,40448811008.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1484402688.0,368832512.0,8438947840.0,40448811008.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1484394496.0,368832512.0,8438947840.0,40448819200.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1484267520.0,368832512.0,8438947840.0,40448946176.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1484140544.0,368832512.0,8438947840.0,40449073152.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1484140544.0,368832512.0,8438947840.0,40449073152.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1484140544.0,368832512.0,8438947840.0,40449073152.0
4.170,0.042,95.746,0.0,0.0,0.042,0.0,0.0,1484148736.0,368832512.0,8438947840.0,40449064960.0
