"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 13:49:14 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.054,1.753,74.162,0.028,0.000,0.003,11445.505,493570.264,988758016.0,368832512.0,8439484416.0,40943919104.0
4.127,0.042,95.832,0.0,0.0,0.0,0.0,0.0,1022427136.0,368832512.0,8439488512.0,40910245888.0
4.172,0.042,95.620,0.167,0.0,0.0,0.0,16384.0,1055838208.0,368832512.0,8439504896.0,40876818432.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,1089409024.0,368832512.0,8439504896.0,40843247616.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1120849920.0,368832512.0,8439504896.0,40811806720.0
4.088,0.125,95.786,0.0,0.0,0.0,0.0,0.0,1263644672.0,368832512.0,8439504896.0,40669011968.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1263644672.0,368832512.0,8439504896.0,40669011968.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1263644672.0,368832512.0,8439504896.0,40669011968.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1263353856.0,368832512.0,8439504896.0,40669302784.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 13:49:25 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.054,1.753,74.162,0.028,0.000,0.003,11445.500,493570.066,987537408.0,368832512.0,8439508992.0,40945115136.0
4.167,0.042,95.792,0.0,0.0,0.0,0.0,0.0,1021091840.0,368832512.0,8439508992.0,40911560704.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1054646272.0,368832512.0,8439508992.0,40878006272.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1088311296.0,368832512.0,8439508992.0,40844341248.0
4.088,0.125,95.786,0.0,0.0,0.0,0.0,4096.0,1208102912.0,368832512.0,8439508992.0,40724549632.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1262436352.0,368832512.0,8439508992.0,40670216192.0
4.174,0.0,95.743,0.083,0.0,0.0,0.0,12288.0,1262428160.0,368832512.0,8439508992.0,40670224384.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1262256128.0,368832512.0,8439508992.0,40670396416.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1262002176.0,368832512.0,8439508992.0,40670650368.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 13:49:35 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.054,1.753,74.162,0.028,0.000,0.003,11445.496,493569.869,986984448.0,368832512.0,8439508992.0,40945668096.0
4.165,0.042,95.793,0.0,0.0,0.0,0.0,0.0,1020538880.0,368832512.0,8439508992.0,40912113664.0
4.128,0.042,95.788,0.0,0.0,0.042,0.0,0.0,1054474240.0,368832512.0,8439508992.0,40878178304.0
4.170,0.083,95.538,0.209,0.0,0.0,0.0,20480.0,1088147456.0,368832512.0,8439508992.0,40844505088.0
4.087,0.125,95.788,0.0,0.0,0.0,0.0,0.0,1220395008.0,368832512.0,8439508992.0,40712257536.0
