"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 13:50:06 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.054,1.753,74.162,0.028,0.000,0.003,11445.482,493569.275,987193344.0,368832512.0,8439537664.0,40945430528.0
4.127,0.042,95.832,0.0,0.0,0.0,0.0,0.0,1021001728.0,368832512.0,8439537664.0,40911622144.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1054560256.0,368832512.0,8439541760.0,40878059520.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,4096.0,1088241664.0,368832512.0,8439541760.0,40844378112.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1121792000.0,368832512.0,8439541760.0,40810827776.0
4.168,0.083,95.665,0.083,0.0,0.0,0.0,20480.0,1155211264.0,368832512.0,8439541760.0,40777408512.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1188765696.0,368832512.0,8439541760.0,40743854080.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1224282112.0,368832512.0,8439541760.0,40708337664.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1257709568.0,368832512.0,8439541760.0,40674910208.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1291255808.0,368832512.0,8439541760.0,40641363968.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1324937216.0,368832512.0,8439541760.0,40607682560.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1358364672.0,368832512.0,8439541760.0,40574255104.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1391919104.0,368832512.0,8439541760.0,40540700672.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1425367040.0,368832512.0,8439541760.0,40507252736.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1458794496.0,368832512.0,8439541760.0,40473825280.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1492221952.0,368832512.0,8439541760.0,40440397824.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1521709056.0,368832512.0,8439541760.0,40410910720.0
3.796,0.417,95.786,0.0,0.0,0.0,0.0,0.0,2059530240.0,368832512.0,8439541760.0,39873089536.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,28672.0,2093019136.0,368832512.0,8439541760.0,39839600640.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2093019136.0,368832512.0,8439541760.0,39839600640.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,2092986368.0,368832512.0,8439541760.0,39839633408.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092986368.0,368832512.0,8439541760.0,39839633408.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2092986368.0,368832512.0,8439541760.0,39839633408.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2092986368.0,368832512.0,8439541760.0,39839633408.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2092867584.0,368832512.0,8439541760.0,39839752192.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2092859392.0,368832512.0,8439541760.0,39839760384.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,2092859392.0,368832512.0,8439541760.0,39839760384.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2092859392.0,368832512.0,8439541760.0,39839760384.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092859392.0,368832512.0,8439541760.0,39839760384.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2092859392.0,368832512.0,8439541760.0,39839760384.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2092732416.0,368832512.0,8439541760.0,39839887360.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092732416.0,368832512.0,8439541760.0,39839887360.0
4.174,0.0,95.701,0.125,0.0,0.0,0.0,12288.0,2092740608.0,368832512.0,8439541760.0,39839879168.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092740608.0,368832512.0,8439541760.0,39839879168.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092695552.0,368832512.0,8439541760.0,39839924224.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2092695552.0,368832512.0,8439541760.0,39839924224.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092695552.0,368832512.0,8439541760.0,39839924224.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 13:50:44 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.054,1.753,74.162,0.028,0.000,0.003,11445.465,493568.539,986042368.0,368832512.0,8439545856.0,40946573312.0
4.165,0.042,95.793,0.0,0.0,0.0,0.0,0.0,1019596800.0,368832512.0,8439545856.0,40913018880.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1053528064.0,368832512.0,8439549952.0,40879083520.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1087066112.0,368832512.0,8439549952.0,40845545472.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,1120874496.0,368832512.0,8439549952.0,40811737088.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1154428928.0,368832512.0,8439549952.0,40778182656.0
4.132,0.042,95.659,0.167,0.0,0.0,0.0,16384.0,1188110336.0,368832512.0,8439549952.0,40744501248.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1221660672.0,368832512.0,8439549952.0,40710950912.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1254961152.0,368832512.0,8439549952.0,40677650432.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1288454144.0,368832512.0,8439549952.0,40644157440.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1322135552.0,368832512.0,8439549952.0,40610476032.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1355563008.0,368832512.0,8439549952.0,40577048576.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1389244416.0,368832512.0,8439549952.0,40543367168.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1422798848.0,368832512.0,8439549952.0,40509812736.0
4.128,0.042,95.830,0.0,0.0,0.0,0.0,0.0,1456353280.0,368832512.0,8439549952.0,40476258304.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1490034688.0,368832512.0,8439549952.0,40442576896.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1521618944.0,368832512.0,8439549952.0,40410992640.0
3.793,0.417,95.790,0.0,0.0,0.0,0.0,0.0,2059251712.0,368832512.0,8439549952.0,39873359872.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2092867584.0,368832512.0,8439549952.0,39839744000.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2092867584.0,368832512.0,8439549952.0,39839744000.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2092740608.0,368832512.0,8439549952.0,39839870976.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092740608.0,368832512.0,8439549952.0,39839870976.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2092748800.0,368832512.0,8439549952.0,39839862784.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2092699648.0,368832512.0,8439549952.0,39839911936.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,2092707840.0,368832512.0,8439549952.0,39839903744.0
4.172,0.083,95.745,0.0,0.0,0.0,0.0,8192.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.168,0.042,95.623,0.167,0.0,0.0,0.0,12288.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2092580864.0,368832512.0,8439549952.0,39840030720.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,2092572672.0,368832512.0,8439549952.0,39840038912.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,2092572672.0,368832512.0,8439549952.0,39840038912.0


"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 13:51:22 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.054,1.753,74.162,0.028,0.000,0.003,11445.448,493567.801,986447872.0,368832512.0,8439549952.0,40946163712.0
4.125,0.042,95.833,0.0,0.0,0.0,0.0,0.0,1020502016.0,368832512.0,8439549952.0,40912109568.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1053802496.0,368832512.0,8439549952.0,40878809088.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1087483904.0,368832512.0,8439549952.0,40845127680.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1121038336.0,368832512.0,8439549952.0,40811573248.0
4.134,0.042,95.825,0.0,0.0,0.0,0.0,0.0,1154592768.0,368832512.0,8439549952.0,40778018816.0
4.168,0.083,95.540,0.208,0.0,0.0,0.0,16384.0,1187827712.0,368832512.0,8439554048.0,40744779776.0
4.132,0.042,95.826,0.0,0.0,0.0,0.0,0.0,1221509120.0,368832512.0,8439554048.0,40711098368.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1255063552.0,368832512.0,8439554048.0,40677543936.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1288728576.0,368832512.0,8439554048.0,40643878912.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1322266624.0,368832512.0,8439554048.0,40610340864.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1355821056.0,368832512.0,8439554048.0,40576786432.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1389211648.0,368832512.0,8439554048.0,40543395840.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1422893056.0,368832512.0,8439554048.0,40509714432.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1456447488.0,368832512.0,8439554048.0,40476160000.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1490128896.0,368832512.0,8439554048.0,40442478592.0
4.168,0.042,95.581,0.167,0.0,0.042,0.0,12288.0,1521594368.0,368832512.0,8439554048.0,40411013120.0
3.795,0.417,95.788,0.0,0.0,0.0,0.0,0.0,2059608064.0,368832512.0,8439554048.0,39872999424.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2092969984.0,368832512.0,8439554048.0,39839637504.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2093092864.0,368832512.0,8439554048.0,39839514624.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2093092864.0,368832512.0,8439554048.0,39839514624.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,2093092864.0,368832512.0,8439554048.0,39839514624.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,12288.0,2093092864.0,368832512.0,8439554048.0,39839514624.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2093092864.0,368832512.0,8439554048.0,39839514624.0
