"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-4.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","25 Feb 2016 19:11:08 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
17.925,0.410,81.603,0.031,0.000,0.030,748.375,26125.553,320114688.0,91267072.0,88215552.0,12115390464.0
4.082,0.125,95.793,0.0,0.0,0.0,0.0,0.0,498802688.0,91267072.0,88219648.0,11936698368.0
4.168,0.042,95.748,0.042,0.0,0.0,0.0,12288.0,498515968.0,91275264.0,88244224.0,11936952320.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,498507776.0,91275264.0,88252416.0,11936952320.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,498257920.0,91275264.0,88252416.0,11937202176.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,499654656.0,91275264.0,88252416.0,11935805440.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,499523584.0,91275264.0,88252416.0,11935936512.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,499269632.0,91275264.0,88252416.0,11936190464.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,499093504.0,91275264.0,88252416.0,11936366592.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,499085312.0,91275264.0,88252416.0,11936374784.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,498569216.0,91275264.0,88252416.0,11936890880.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,65536.0,498401280.0,91275264.0,88252416.0,11937058816.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,498401280.0,91275264.0,88252416.0,11937058816.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,498274304.0,91275264.0,88252416.0,11937185792.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,498139136.0,91275264.0,88252416.0,11937320960.0
