"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-4.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 19:50:35 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
17.914,0.410,81.614,0.031,0.000,0.030,747.823,26106.869,305594368.0,91865088.0,88588288.0,12128940032.0
4.167,0.0,95.833,0.0,0.0,0.0,0.0,0.0,306667520.0,91865088.0,88588288.0,12127866880.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,306270208.0,91865088.0,88596480.0,12128256000.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,306397184.0,91865088.0,88596480.0,12128129024.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,306397184.0,91865088.0,88596480.0,12128129024.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,306143232.0,91865088.0,88596480.0,12128382976.0
4.172,0.0,95.703,0.125,0.0,0.0,0.0,16384.0,306139136.0,91873280.0,88592384.0,12128382976.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,306135040.0,91873280.0,88596480.0,12128382976.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,306126848.0,91873280.0,88596480.0,12128391168.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305881088.0,91873280.0,88596480.0,12128636928.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305754112.0,91873280.0,88596480.0,12128763904.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,305737728.0,91873280.0,88596480.0,12128780288.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305610752.0,91873280.0,88596480.0,12128907264.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,305610752.0,91873280.0,88596480.0,12128907264.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,305483776.0,91873280.0,88596480.0,12129034240.0
4.170,0.042,95.746,0.042,0.0,0.0,0.0,12288.0,305467392.0,91881472.0,88588288.0,12129050624.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305463296.0,91881472.0,88588288.0,12129054720.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305328128.0,91881472.0,88596480.0,12129181696.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,305201152.0,91881472.0,88596480.0,12129308672.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305201152.0,91881472.0,88596480.0,12129308672.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,305201152.0,91881472.0,88596480.0,12129308672.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305008640.0,91881472.0,88596480.0,12129501184.0


"Host:","compute-431-4.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 19:50:58 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
17.914,0.410,81.614,0.031,0.000,0.030,747.818,26106.690,304566272.0,91881472.0,88600576.0,12129939456.0
4.167,0.0,95.833,0.0,0.0,0.0,0.0,0.0,304828416.0,91881472.0,88600576.0,12129677312.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,304701440.0,91881472.0,88600576.0,12129804288.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,304701440.0,91881472.0,88600576.0,12129804288.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,304701440.0,91881472.0,88600576.0,12129804288.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,304701440.0,91881472.0,88600576.0,12129804288.0
4.172,0.0,95.745,0.083,0.0,0.0,0.0,16384.0,304697344.0,91889664.0,88596480.0,12129804288.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,304697344.0,91889664.0,88596480.0,12129804288.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,305459200.0,91889664.0,88600576.0,12129038336.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305328128.0,91889664.0,88600576.0,12129169408.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305328128.0,91889664.0,88600576.0,12129169408.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305328128.0,91889664.0,88600576.0,12129169408.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305192960.0,91889664.0,88600576.0,12129304576.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,305192960.0,91889664.0,88600576.0,12129304576.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,305180672.0,91889664.0,88600576.0,12129316864.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305053696.0,91889664.0,88600576.0,12129443840.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,8192.0,305053696.0,91889664.0,88600576.0,12129443840.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305053696.0,91889664.0,88600576.0,12129443840.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305053696.0,91889664.0,88600576.0,12129443840.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305049600.0,91889664.0,88604672.0,12129443840.0
4.214,0.042,95.745,0.0,0.0,0.0,0.0,0.0,304795648.0,91889664.0,88604672.0,12129697792.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,304795648.0,91889664.0,88604672.0,12129697792.0


"Host:","compute-431-4.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 19:51:21 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
17.914,0.410,81.614,0.031,0.000,0.030,747.812,26106.510,305561600.0,91889664.0,88604672.0,12128931840.0
4.165,0.042,95.793,0.0,0.0,0.0,0.0,0.0,305561600.0,91889664.0,88604672.0,12128931840.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305553408.0,91889664.0,88604672.0,12128940032.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305426432.0,91889664.0,88604672.0,12129067008.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305426432.0,91889664.0,88604672.0,12129067008.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,306253824.0,91889664.0,88604672.0,12128239616.0
4.170,0.042,95.705,0.083,0.0,0.0,0.0,16384.0,305991680.0,91897856.0,88604672.0,12128493568.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,305737728.0,91897856.0,88604672.0,12128747520.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305737728.0,91897856.0,88604672.0,12128747520.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,305475584.0,91897856.0,88604672.0,12129009664.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,305475584.0,91897856.0,88604672.0,12129009664.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,305475584.0,91897856.0,88604672.0,12129009664.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,305221632.0,91897856.0,88604672.0,12129263616.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305192960.0,91897856.0,88604672.0,12129292288.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305192960.0,91897856.0,88604672.0,12129292288.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305065984.0,91897856.0,88604672.0,12129419264.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305065984.0,91897856.0,88604672.0,12129419264.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305065984.0,91897856.0,88604672.0,12129419264.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,304947200.0,91897856.0,88604672.0,12129538048.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,304820224.0,91897856.0,88604672.0,12129665024.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,304820224.0,91897856.0,88604672.0,12129665024.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,304693248.0,91897856.0,88604672.0,12129792000.0


"Host:","compute-431-4.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","25 Feb 2016 19:51:44 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
17.914,0.410,81.614,0.031,0.000,0.030,747.807,26106.327,308137984.0,91897856.0,88604672.0,12126347264.0
4.167,0.0,95.833,0.0,0.0,0.0,0.0,0.0,308228096.0,91897856.0,88604672.0,12126257152.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,306442240.0,91897856.0,88604672.0,12128043008.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,306442240.0,91897856.0,88604672.0,12128043008.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,306327552.0,91897856.0,88604672.0,12128157696.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,306073600.0,91897856.0,88604672.0,12128411648.0
4.172,0.042,95.661,0.125,0.0,0.0,0.0,20480.0,306036736.0,91906048.0,88596480.0,12128448512.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,306036736.0,91906048.0,88604672.0,12128440320.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,305766400.0,91906048.0,88604672.0,12128710656.0
