"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-4.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","25 Feb 2016 19:52:30 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
17.914,0.410,81.614,0.031,0.000,0.030,747.796,26105.972,306323456.0,91922432.0,88612864.0,12128129024.0
4.167,0.0,95.833,0.0,0.0,0.0,0.0,0.0,306417664.0,91922432.0,88637440.0,12128010240.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,306290688.0,91922432.0,88637440.0,12128137216.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,306290688.0,91922432.0,88637440.0,12128137216.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,306290688.0,91922432.0,88637440.0,12128137216.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,305995776.0,91922432.0,88637440.0,12128432128.0
4.174,0.0,95.743,0.083,0.0,0.0,0.0,16384.0,306626560.0,91930624.0,88637440.0,12127793152.0
4.208,0.042,95.750,0.0,0.0,0.0,0.0,0.0,306372608.0,91930624.0,88637440.0,12128047104.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,306372608.0,91930624.0,88637440.0,12128047104.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,306245632.0,91930624.0,88637440.0,12128174080.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,306245632.0,91930624.0,88637440.0,12128174080.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305983488.0,91930624.0,88637440.0,12128436224.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,305856512.0,91930624.0,88637440.0,12128563200.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,305602560.0,91930624.0,88637440.0,12128817152.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,12288.0,305602560.0,91930624.0,88637440.0,12128817152.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,305602560.0,91930624.0,88637440.0,12128817152.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,305602560.0,91930624.0,88637440.0,12128817152.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,305471488.0,91930624.0,88637440.0,12128948224.0
