"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","26 Feb 2016 12:39:25 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.796,7.709,42.424,0.065,0.000,0.005,266.200,18344.117,888238080.0,95567872.0,96645120.0,66578173952.0
3.0,0.250,96.750,0.0,0.0,0.0,0.0,0.0,1066962944.0,95567872.0,96673792.0,66399420416.0
3.128,0.125,96.747,0.0,0.0,0.0,0.0,0.0,1066971136.0,95567872.0,96673792.0,66399412224.0
3.157,0.125,96.686,0.0,0.0,0.031,0.0,0.0,1066856448.0,95567872.0,96677888.0,66399522816.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1066856448.0,95567872.0,96677888.0,66399522816.0
3.128,0.125,96.747,0.0,0.0,0.0,0.0,0.0,1068498944.0,95567872.0,96677888.0,66397880320.0
3.129,0.094,96.183,0.594,0.0,0.0,0.0,12288.0,1068363776.0,95571968.0,96673792.0,66398015488.0
3.158,0.125,96.717,0.0,0.0,0.0,0.0,0.0,1068232704.0,95571968.0,96677888.0,66398142464.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1068105728.0,95571968.0,96677888.0,66398269440.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1067843584.0,95571968.0,96677888.0,66398531584.0
3.128,0.094,96.747,0.0,0.0,0.031,0.0,4096.0,1067565056.0,95571968.0,96677888.0,66398810112.0
3.158,0.125,96.717,0.0,0.0,0.0,0.0,0.0,1067311104.0,95571968.0,96677888.0,66399064064.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1067147264.0,95571968.0,96677888.0,66399227904.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1066876928.0,95571968.0,96677888.0,66399498240.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1066758144.0,95571968.0,96677888.0,66399617024.0
3.130,0.063,96.182,0.595,0.0,0.031,0.0,102400.0,1066754048.0,95580160.0,96673792.0,66399617024.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1066627072.0,95580160.0,96673792.0,66399744000.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1066483712.0,95580160.0,96673792.0,66399887360.0
3.158,0.094,96.717,0.0,0.0,0.031,0.0,0.0,1066479616.0,95580160.0,96677888.0,66399887360.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1066168320.0,95580160.0,96677888.0,66400198656.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,28672.0,1066033152.0,95580160.0,96677888.0,66400333824.0
3.160,0.063,96.715,0.063,0.0,0.0,0.0,20480.0,1066033152.0,95580160.0,96677888.0,66400333824.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1066033152.0,95580160.0,96677888.0,66400333824.0
3.159,0.125,96.684,0.0,0.0,0.031,0.0,0.0,1065906176.0,95580160.0,96677888.0,66400460800.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065914368.0,95580160.0,96677888.0,66400452608.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065660416.0,95580160.0,96677888.0,66400706560.0
3.158,0.094,96.748,0.0,0.0,0.0,0.0,0.0,1065660416.0,95580160.0,96677888.0,66400706560.0
3.130,0.063,96.776,0.0,0.0,0.031,0.0,0.0,1065660416.0,95580160.0,96677888.0,66400706560.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1065648128.0,95580160.0,96677888.0,66400718848.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1065394176.0,95580160.0,96677888.0,66400972800.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065385984.0,95580160.0,96677888.0,66400980992.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065259008.0,95580160.0,96677888.0,66401107968.0
3.159,0.063,96.747,0.0,0.0,0.031,0.0,0.0,1065267200.0,95580160.0,96677888.0,66401099776.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065259008.0,95580160.0,96677888.0,66401107968.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065402368.0,95580160.0,96677888.0,66400964608.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065308160.0,95580160.0,96677888.0,66401058816.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1065308160.0,95580160.0,96677888.0,66401058816.0
3.130,0.063,96.244,0.532,0.0,0.031,0.0,36864.0,1065656320.0,95580160.0,96677888.0,66400710656.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1065635840.0,95580160.0,96681984.0,66400727040.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065762816.0,95580160.0,96681984.0,66400600064.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065635840.0,95580160.0,96681984.0,66400727040.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065623552.0,95580160.0,96681984.0,66400739328.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1065631744.0,95580160.0,96681984.0,66400731136.0
3.129,0.063,96.777,0.0,0.0,0.031,0.0,0.0,1065627648.0,95580160.0,96686080.0,66400731136.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1065431040.0,95580160.0,96686080.0,66400927744.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065422848.0,95580160.0,96686080.0,66400935936.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1065422848.0,95580160.0,96686080.0,66400935936.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065422848.0,95580160.0,96686080.0,66400935936.0
3.128,0.094,96.747,0.0,0.0,0.031,0.0,0.0,1065422848.0,95580160.0,96686080.0,66400935936.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065394176.0,95580160.0,96686080.0,66400964608.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,40960.0,1065385984.0,95580160.0,96686080.0,66400972800.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065385984.0,95580160.0,96686080.0,66400972800.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1065394176.0,95580160.0,96686080.0,66400964608.0
3.129,0.094,96.746,0.0,0.0,0.031,0.0,0.0,1065259008.0,95580160.0,96686080.0,66401099776.0
3.158,0.094,96.748,0.0,0.0,0.0,0.0,0.0,1065267200.0,95580160.0,96686080.0,66401091584.0
3.160,0.063,96.183,0.594,0.0,0.0,0.0,12288.0,1065267200.0,95580160.0,96686080.0,66401091584.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065263104.0,95580160.0,96686080.0,66401095680.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065263104.0,95580160.0,96686080.0,66401095680.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1065136128.0,95580160.0,96686080.0,66401222656.0
3.128,0.094,96.747,0.0,0.0,0.031,0.0,0.0,1065136128.0,95580160.0,96686080.0,66401222656.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065136128.0,95580160.0,96686080.0,66401222656.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065136128.0,95580160.0,96686080.0,66401222656.0
3.159,0.063,96.778,0.0,0.0,0.0,0.0,0.0,1065127936.0,95580160.0,96686080.0,66401230848.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065127936.0,95580160.0,96686080.0,66401230848.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065136128.0,95580160.0,96686080.0,66401222656.0
3.160,0.063,96.777,0.0,0.0,0.0,0.0,0.0,1065144320.0,95580160.0,96686080.0,66401214464.0
3.128,0.094,96.747,0.0,0.0,0.031,0.0,0.0,1065144320.0,95580160.0,96686080.0,66401214464.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065144320.0,95580160.0,96686080.0,66401214464.0
3.160,0.094,96.746,0.0,0.0,0.0,0.0,0.0,1065144320.0,95580160.0,96686080.0,66401214464.0
3.129,0.094,96.777,0.0,0.0,0.0,0.0,0.0,1065144320.0,95580160.0,96686080.0,66401214464.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065136128.0,95580160.0,96686080.0,66401222656.0
3.159,0.094,96.747,0.0,0.0,0.0,0.0,0.0,1065136128.0,95580160.0,96686080.0,66401222656.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,1065144320.0,95580160.0,96686080.0,66401214464.0
