"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.B.x.csv",,,,"Date:","26 Feb 2016 14:37:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.051,1.753,74.165,0.028,0.000,0.003,11444.207,493514.398,992100352.0,368832512.0,8425000960.0,40955060224.0
4.042,0.125,95.833,0.0,0.0,0.0,0.0,0.0,1173925888.0,368832512.0,8425000960.0,40773234688.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1173843968.0,368832512.0,8425209856.0,40773107712.0
4.127,0.083,95.790,0.0,0.0,0.0,0.0,0.0,1173835776.0,368832512.0,8425209856.0,40773115904.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1173704704.0,368832512.0,8425209856.0,40773246976.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1173688320.0,368832512.0,8425209856.0,40773263360.0
4.170,0.042,95.580,0.209,0.0,0.0,0.0,24576.0,1173561344.0,368832512.0,8425209856.0,40773390336.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1173426176.0,368832512.0,8425209856.0,40773525504.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1173291008.0,368832512.0,8425209856.0,40773660672.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1172942848.0,368832512.0,8425209856.0,40774008832.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1172815872.0,368832512.0,8425209856.0,40774135808.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1172942848.0,368832512.0,8425209856.0,40774008832.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1172942848.0,368832512.0,8425209856.0,40774008832.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1172680704.0,368832512.0,8425209856.0,40774270976.0
4.170,0.125,95.705,0.0,0.0,0.0,0.0,0.0,1172553728.0,368832512.0,8425209856.0,40774397952.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,1175158784.0,368832512.0,8425209856.0,40771792896.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1175236608.0,368832512.0,8425209856.0,40771715072.0
4.170,0.042,95.621,0.167,0.0,0.0,0.0,12288.0,1175236608.0,368832512.0,8425209856.0,40771715072.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1175236608.0,368832512.0,8425209856.0,40771715072.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,1175109632.0,368832512.0,8425209856.0,40771842048.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174982656.0,368832512.0,8425209856.0,40771969024.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,1174982656.0,368832512.0,8425209856.0,40771969024.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174982656.0,368832512.0,8425209856.0,40771969024.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1174982656.0,368832512.0,8425209856.0,40771969024.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,1174982656.0,368832512.0,8425209856.0,40771969024.0
4.208,0.083,95.708,0.0,0.0,0.0,0.0,0.0,1174855680.0,368832512.0,8425209856.0,40772096000.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174855680.0,368832512.0,8425209856.0,40772096000.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174851584.0,368832512.0,8425209856.0,40772100096.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1174859776.0,368832512.0,8425209856.0,40772091904.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1174724608.0,368832512.0,8425209856.0,40772227072.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,28672.0,1174724608.0,368832512.0,8425209856.0,40772227072.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1174724608.0,368832512.0,8425209856.0,40772227072.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1174663168.0,368832512.0,8425209856.0,40772288512.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174663168.0,368832512.0,8425209856.0,40772288512.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174663168.0,368832512.0,8425209856.0,40772288512.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1174671360.0,368832512.0,8425209856.0,40772280320.0
4.208,0.042,95.750,0.0,0.0,0.0,0.0,0.0,1174671360.0,368832512.0,8425209856.0,40772280320.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174671360.0,368832512.0,8425209856.0,40772280320.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174671360.0,368832512.0,8425209856.0,40772280320.0
4.170,0.042,95.746,0.0,0.0,0.042,0.0,0.0,1174671360.0,368832512.0,8425209856.0,40772280320.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1174671360.0,368832512.0,8425209856.0,40772280320.0
4.212,0.0,95.788,0.0,0.0,0.0,0.0,0.0,1174671360.0,368832512.0,8425209856.0,40772280320.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1174667264.0,368832512.0,8425213952.0,40772280320.0
