"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.B.x.csv",,,,"Date:","26 Feb 2016 15:47:23 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.048,1.753,74.169,0.028,0.000,0.003,11442.322,493433.199,983101440.0,368832512.0,8427732992.0,40961327104.0
4.208,0.042,95.750,0.0,0.0,0.0,0.0,0.0,983224320.0,368832512.0,8427737088.0,40961200128.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,983351296.0,368832512.0,8427737088.0,40961073152.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,983207936.0,368832512.0,8427872256.0,40961081344.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,983207936.0,368832512.0,8427872256.0,40961081344.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,983207936.0,368832512.0,8427872256.0,40961081344.0
4.172,0.0,95.661,0.167,0.0,0.0,0.0,16384.0,983207936.0,368832512.0,8427872256.0,40961081344.0
4.170,0.042,95.746,0.0,0.0,0.042,0.0,0.0,983068672.0,368832512.0,8427872256.0,40961220608.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982867968.0,368832512.0,8427872256.0,40961421312.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982740992.0,368832512.0,8427872256.0,40961548288.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982740992.0,368832512.0,8427872256.0,40961548288.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982740992.0,368832512.0,8427872256.0,40961548288.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,982740992.0,368832512.0,8427872256.0,40961548288.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,982614016.0,368832512.0,8427872256.0,40961675264.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982601728.0,368832512.0,8427872256.0,40961687552.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982601728.0,368832512.0,8427872256.0,40961687552.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982601728.0,368832512.0,8427872256.0,40961687552.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982601728.0,368832512.0,8427872256.0,40961687552.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,982601728.0,368832512.0,8427872256.0,40961687552.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982474752.0,368832512.0,8427872256.0,40961814528.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982474752.0,368832512.0,8427872256.0,40961814528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,4096.0,982482944.0,368832512.0,8427872256.0,40961806336.0
4.214,0.0,95.745,0.042,0.0,0.0,0.0,12288.0,982474752.0,368832512.0,8427872256.0,40961814528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982474752.0,368832512.0,8427872256.0,40961814528.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982474752.0,368832512.0,8427872256.0,40961814528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.214,0.0,95.786,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982355968.0,368832512.0,8427872256.0,40961933312.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982220800.0,368832512.0,8427872256.0,40962068480.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,982347776.0,368832512.0,8427872256.0,40961941504.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982355968.0,368832512.0,8427872256.0,40961933312.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,982355968.0,368832512.0,8427872256.0,40961933312.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982351872.0,368832512.0,8427872256.0,40961937408.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982351872.0,368832512.0,8427872256.0,40961937408.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982351872.0,368832512.0,8427872256.0,40961937408.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982265856.0,368832512.0,8427872256.0,40962023424.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982265856.0,368832512.0,8427872256.0,40962023424.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,982265856.0,368832512.0,8427872256.0,40962023424.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,982261760.0,368832512.0,8427876352.0,40962023424.0
4.215,0.0,95.785,0.0,0.0,0.0,0.0,0.0,982253568.0,368832512.0,8427876352.0,40962031616.0
4.174,0.083,95.743,0.0,0.0,0.0,0.0,0.0,982253568.0,368832512.0,8427876352.0,40962031616.0
