"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-9.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 16:17:17 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.047,1.752,74.170,0.028,0.000,0.003,11441.517,493398.524,982933504.0,368832512.0,8428830720.0,40960397312.0
4.165,0.042,95.793,0.0,0.0,0.0,0.0,0.0,999714816.0,368832512.0,8428855296.0,40943591424.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,4096.0,1018716160.0,368832512.0,8428855296.0,40924590080.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1035485184.0,368832512.0,8428855296.0,40907821056.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1054351360.0,368832512.0,8428855296.0,40888954880.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1071128576.0,368832512.0,8428855296.0,40872177664.0
4.172,0.042,95.578,0.209,0.0,0.0,0.0,16384.0,1089994752.0,368832512.0,8428855296.0,40853311488.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1106644992.0,368832512.0,8428855296.0,40836661248.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1125453824.0,368832512.0,8428855296.0,40817852416.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1144455168.0,368832512.0,8428855296.0,40798851072.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,1161232384.0,368832512.0,8428855296.0,40782073856.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,1179979776.0,368832512.0,8428855296.0,40763326464.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1196756992.0,368832512.0,8428855296.0,40746549248.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1215631360.0,368832512.0,8428855296.0,40727674880.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1232408576.0,368832512.0,8428855296.0,40710897664.0
4.128,0.042,95.830,0.0,0.0,0.0,0.0,0.0,1251282944.0,368832512.0,8428855296.0,40692023296.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1268187136.0,368832512.0,8428855296.0,40675119104.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1286934528.0,368832512.0,8428855296.0,40656371712.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1303711744.0,368832512.0,8428855296.0,40639594496.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1322586112.0,368832512.0,8428855296.0,40620720128.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,1339490304.0,368832512.0,8428855296.0,40603815936.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1358364672.0,368832512.0,8428855296.0,40584941568.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,1375141888.0,368832512.0,8428855296.0,40568164352.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1394143232.0,368832512.0,8428855296.0,40549163008.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,1413017600.0,368832512.0,8428855296.0,40530288640.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1429794816.0,368832512.0,8428855296.0,40513511424.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,1446572032.0,368832512.0,8428855296.0,40496734208.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1465581568.0,368832512.0,8428855296.0,40477724672.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1482350592.0,368832512.0,8428855296.0,40460955648.0
4.130,0.042,95.703,0.125,0.0,0.0,0.0,12288.0,1501097984.0,368832512.0,8428855296.0,40442208256.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1517875200.0,368832512.0,8428855296.0,40425431040.0
3.796,0.375,95.828,0.0,0.0,0.0,0.0,0.0,2056015872.0,368832512.0,8428855296.0,39887290368.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,2056015872.0,368832512.0,8428855296.0,39887290368.0
4.130,0.042,95.828,0.0,0.0,0.0,0.0,0.0,2089504768.0,368832512.0,8428855296.0,39853801472.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2089504768.0,368832512.0,8428855296.0,39853801472.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,2089472000.0,368832512.0,8428855296.0,39853834240.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2089472000.0,368832512.0,8428855296.0,39853834240.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,8192.0,2089472000.0,368832512.0,8428855296.0,39853834240.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2089472000.0,368832512.0,8428855296.0,39853834240.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2089472000.0,368832512.0,8428855296.0,39853834240.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2089472000.0,368832512.0,8428855296.0,39853834240.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,2089467904.0,368832512.0,8428859392.0,39853834240.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2089467904.0,368832512.0,8428859392.0,39853834240.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2089463808.0,368832512.0,8428859392.0,39853838336.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2089463808.0,368832512.0,8428859392.0,39853838336.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2089463808.0,368832512.0,8428859392.0,39853838336.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.210,0.042,95.748,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.174,0.083,95.743,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2089463808.0,368832512.0,8428859392.0,39853838336.0
4.174,0.042,95.785,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.175,0.0,95.825,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.212,0.042,95.746,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2089463808.0,368832512.0,8428859392.0,39853838336.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2089455616.0,368832512.0,8428859392.0,39853846528.0
