"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-431-6.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.C.x.csv",,,,"Date:","26 Feb 2016 17:36:23 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
0.490,0.050,99.444,0.016,0.000,0.000,27302.692,14609.778,711557120.0,98496512.0,495452160.0,49435488256.0
4.165,0.0,95.835,0.0,0.0,0.0,0.0,0.0,711671808.0,98496512.0,495456256.0,49435369472.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711667712.0,98496512.0,495595520.0,49435234304.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,711667712.0,98496512.0,495595520.0,49435234304.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711663616.0,98496512.0,495595520.0,49435238400.0
4.170,0.0,95.830,0.0,0.0,0.0,0.0,0.0,711536640.0,98496512.0,495595520.0,49435365376.0
4.168,0.042,95.707,0.083,0.0,0.0,0.0,16384.0,711536640.0,98504704.0,495587328.0,49435365376.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711536640.0,98504704.0,495587328.0,49435365376.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,711528448.0,98504704.0,495595520.0,49435365376.0
4.168,0.0,95.832,0.0,0.0,0.0,0.0,0.0,711520256.0,98504704.0,495595520.0,49435373568.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711520256.0,98504704.0,495595520.0,49435373568.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711458816.0,98504704.0,495595520.0,49435435008.0
4.210,0.0,95.790,0.0,0.0,0.0,0.0,0.0,711458816.0,98504704.0,495595520.0,49435435008.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,711458816.0,98504704.0,495595520.0,49435435008.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711442432.0,98504704.0,495595520.0,49435451392.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711442432.0,98504704.0,495595520.0,49435451392.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711188480.0,98504704.0,495595520.0,49435705344.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,711188480.0,98504704.0,495595520.0,49435705344.0
