"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output cg.C.x.csv",,,,"Date:","26 Feb 2016 14:54:51 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.733,7.699,42.497,0.065,0.000,0.005,265.850,18320.926,877944832.0,96538624.0,93044736.0,66591096832.0
2.783,0.375,96.842,0.0,0.0,0.0,0.0,0.0,1362702336.0,96538624.0,93044736.0,66106339328.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1362825216.0,96538624.0,93048832.0,66106212352.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1362702336.0,96538624.0,93052928.0,66106331136.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1362702336.0,96538624.0,93052928.0,66106331136.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1362575360.0,96538624.0,93052928.0,66106458112.0
3.127,0.063,96.216,0.594,0.0,0.0,0.0,16384.0,1362448384.0,96542720.0,93048832.0,66106585088.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1362313216.0,96542720.0,93048832.0,66106720256.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1362157568.0,96542720.0,93052928.0,66106871808.0
3.157,0.063,96.780,0.0,0.0,0.0,0.0,0.0,1362157568.0,96542720.0,93052928.0,66106871808.0
3.127,0.031,96.842,0.0,0.0,0.0,0.0,8192.0,1362149376.0,96542720.0,93052928.0,66106880000.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1362014208.0,96542720.0,93052928.0,66107015168.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1362014208.0,96542720.0,93052928.0,66107015168.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1361887232.0,96542720.0,93052928.0,66107142144.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1361850368.0,96542720.0,93052928.0,66107179008.0
3.156,0.062,96.781,0.0,0.0,0.0,0.0,0.0,1361850368.0,96542720.0,93052928.0,66107179008.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1361850368.0,96542720.0,93052928.0,66107179008.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1361604608.0,96542720.0,93052928.0,66107424768.0
3.128,0.063,96.810,0.0,0.0,0.0,0.0,0.0,1361604608.0,96542720.0,93052928.0,66107424768.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,1361612800.0,96542720.0,93052928.0,66107416576.0
3.128,0.031,96.841,0.0,0.0,0.0,0.0,0.0,1361612800.0,96542720.0,93052928.0,66107416576.0
3.129,0.063,96.809,0.0,0.0,0.0,0.0,0.0,1361612800.0,96542720.0,93052928.0,66107416576.0
3.159,0.031,96.810,0.0,0.0,0.0,0.0,0.0,1361485824.0,96542720.0,93052928.0,66107543552.0
