"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 15:42:24 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.712,7.696,42.522,0.065,0.000,0.005,265.726,18312.698,871186432.0,96772096.0,94027776.0,66596638720.0
3.154,0.031,96.471,0.344,0.0,0.0,0.0,20480.0,871530496.0,96772096.0,94072832.0,66596249600.0
3.127,0.094,96.779,0.0,0.0,0.0,0.0,0.0,871530496.0,96772096.0,94072832.0,66596249600.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,871403520.0,96772096.0,94072832.0,66596376576.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,871403520.0,96772096.0,94072832.0,66596376576.0
3.128,0.063,96.716,0.094,0.0,0.0,0.0,0.0,871276544.0,96772096.0,94072832.0,66596503552.0
3.130,0.063,96.307,0.501,0.0,0.0,0.0,16384.0,871149568.0,96772096.0,94072832.0,66596630528.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,870895616.0,96772096.0,94072832.0,66596884480.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,870768640.0,96772096.0,94072832.0,66597011456.0
3.129,0.031,96.840,0.0,0.0,0.0,0.0,0.0,870625280.0,96772096.0,94072832.0,66597154816.0
3.158,0.094,96.748,0.0,0.0,0.0,0.0,0.0,870465536.0,96772096.0,94072832.0,66597314560.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,870473728.0,96772096.0,94072832.0,66597306368.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,870469632.0,96772096.0,94072832.0,66597310464.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,0.0,870334464.0,96772096.0,94072832.0,66597445632.0
3.160,0.031,96.809,0.0,0.0,0.0,0.0,0.0,870297600.0,96772096.0,94072832.0,66597482496.0


"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 15:42:41 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.712,7.695,42.522,0.065,0.000,0.005,265.726,18312.653,870465536.0,96772096.0,94072832.0,66597314560.0
3.126,0.063,96.812,0.0,0.0,0.0,0.0,0.0,870584320.0,96772096.0,94072832.0,66597195776.0
3.161,0.063,96.776,0.0,0.0,0.0,0.0,0.0,870735872.0,96772096.0,94072832.0,66597044224.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,870735872.0,96772096.0,94072832.0,66597044224.0
3.131,0.063,96.212,0.595,0.0,0.0,0.0,20480.0,870604800.0,96772096.0,94072832.0,66597175296.0
3.132,0.063,96.806,0.0,0.0,0.0,0.0,0.0,870350848.0,96772096.0,94072832.0,66597429248.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,870350848.0,96772096.0,94072832.0,66597429248.0
3.162,0.125,96.713,0.0,0.0,0.0,0.0,0.0,870350848.0,96772096.0,94072832.0,66597429248.0
3.133,0.063,96.805,0.0,0.0,0.0,0.0,0.0,870096896.0,96772096.0,94072832.0,66597683200.0
3.133,0.031,96.836,0.0,0.0,0.0,0.0,0.0,870088704.0,96772096.0,94072832.0,66597691392.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,870051840.0,96772096.0,94072832.0,66597728256.0
3.162,0.063,96.306,0.470,0.0,0.0,0.0,0.0,870043648.0,96772096.0,94072832.0,66597736448.0
3.133,0.063,96.711,0.094,0.0,0.0,0.0,16384.0,870035456.0,96772096.0,94072832.0,66597744640.0
3.131,0.063,96.807,0.0,0.0,0.0,0.0,0.0,870035456.0,96772096.0,94072832.0,66597744640.0
3.130,0.063,96.808,0.0,0.0,0.0,0.0,16384.0,869924864.0,96772096.0,94072832.0,66597855232.0


"Host:","compute-641-12.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output ep.A.x.csv",,,,"Date:","26 Feb 2016 15:42:58 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
49.712,7.695,42.522,0.065,0.000,0.005,265.725,18312.613,870203392.0,96772096.0,94072832.0,66597576704.0
