"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-641-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 18:14:44 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
41.725,3.426,54.758,0.072,0.000,0.019,373612.523,1124509.367,995196928.0,166109184.0,3616550912.0,62880768000.0
3.122,0.094,96.659,0.125,0.0,0.0,0.0,0.0,1028833280.0,166109184.0,3616587776.0,62847094784.0
3.129,0.094,96.308,0.469,0.0,0.0,0.0,16384.0,1060286464.0,166109184.0,3616587776.0,62815641600.0
3.125,0.125,96.750,0.0,0.0,0.0,0.0,0.0,1091751936.0,166109184.0,3616587776.0,62784176128.0
3.126,0.125,96.749,0.0,0.0,0.0,0.0,0.0,1125179392.0,166109184.0,3616587776.0,62750748672.0
3.002,0.219,96.779,0.0,0.0,0.0,0.0,0.0,1269690368.0,166109184.0,3616587776.0,62606237696.0
3.157,0.094,96.749,0.0,0.0,0.0,0.0,0.0,1269673984.0,166109184.0,3616587776.0,62606254080.0
3.126,0.094,96.780,0.0,0.0,0.0,0.0,0.0,1269157888.0,166109184.0,3616587776.0,62606770176.0
3.130,0.031,96.839,0.0,0.0,0.0,0.0,0.0,1269026816.0,166109184.0,3616587776.0,62606901248.0


"Host:","compute-641-10.local",,,,"User:","a59905"
"Cmdline:","dstat -cdm --output is.B.x.csv",,,,"Date:","26 Feb 2016 18:14:55 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
41.725,3.426,54.758,0.072,0.000,0.019,373612.368,1124508.900,993849344.0,166109184.0,3616591872.0,62882074624.0
3.092,0.094,96.814,0.0,0.0,0.0,0.0,0.0,1027293184.0,166109184.0,3616591872.0,62848630784.0
3.127,0.063,96.185,0.625,0.0,0.0,0.0,20480.0,1058742272.0,166109184.0,3616591872.0,62817181696.0
